"county","FIPS","year","wetDays"
"wascoCA_100km_shp","shp",1979,183.137205477465
"wascoCA_100km_shp","shp",1980,214.027946263301
"wascoCA_100km_shp","shp",1981,197.85218865743
"wascoCA_100km_shp","shp",1982,299.242424366952
"wascoCA_100km_shp","shp",1983,358.34377115137
"wascoCA_100km_shp","shp",1984,124.20454547336
"wascoCA_100km_shp","shp",1985,146.875589280468
"wascoCA_100km_shp","shp",1986,193.694444517395
"wascoCA_100km_shp","shp",1987,213.727441209886
"wascoCA_100km_shp","shp",1988,175.882996603094
"wascoCA_100km_shp","shp",1989,94.7469697626251
"wascoCA_100km_shp","shp",1990,113.041077498485
"wascoCA_100km_shp","shp",1991,226.21414155641
"wascoCA_100km_shp","shp",1992,226.909932742968
"wascoCA_100km_shp","shp",1993,259.280976459986
"wascoCA_100km_shp","shp",1994,205.595454562393
"wascoCA_100km_shp","shp",1995,323.827946119537
"wascoCA_100km_shp","shp",1996,281.888215572946
"wascoCA_100km_shp","shp",1997,171.625757669158
"wascoCA_100km_shp","shp",1998,419.818686949986
"wascoCA_100km_shp","shp",1999,153.232828343657
"wascoCA_100km_shp","shp",2000,188.288047314643
"wascoCA_100km_shp","shp",2001,241.878114495012
"wascoCA_100km_shp","shp",2002,125.633838406065
"wascoCA_100km_shp","shp",2003,167.143097790955
"wascoCA_100km_shp","shp",2004,179.28855222002
"wascoCA_100km_shp","shp",2005,237.865488376029
"wascoCA_100km_shp","shp",2006,225.212121216536
"wascoCA_100km_shp","shp",2007,98.8641414879649
"wascoCA_100km_shp","shp",2008,151.641750887638
"wascoCA_100km_shp","shp",2009,146.623400804019
"wascoCA_100km_shp","shp",2010,351.75858588306
"wascoCA_100km_shp","shp",2011,176.427609501212
"wascoCA_100km_shp","shp",2012,167.707239103889
"wascoCA_100km_shp","shp",2013,75.8449495127707
"wascoCA_100km_shp","shp",2014,160.142760939018
"wascoCA_100km_shp","shp",2015,140.353703774136
"wascoCA_100km_shp","shp",2016,221.996801382966
"wascoCA_100km_shp","shp",2017,220.385185213854
"wascoCA_100km_shp","shp",2018,162.380976419607
"wascoCA_100km_shp","shp",2019,305.344107852038
"wascoCA_100km_shp","shp",2020,152.452357001176
