"county","FIPS","year","wetDays"
"wascoCA_150km_shp","shp",1979,0.753349093774626
"wascoCA_150km_shp","shp",1980,1.64302600472813
"wascoCA_150km_shp","shp",1981,1.2167060677699
"wascoCA_150km_shp","shp",1982,2.52797478329393
"wascoCA_150km_shp","shp",1983,2.77541371158392
"wascoCA_150km_shp","shp",1984,0.43183609141056
"wascoCA_150km_shp","shp",1985,0.986603624901497
"wascoCA_150km_shp","shp",1986,1.3806146572104
"wascoCA_150km_shp","shp",1987,1.07565011820331
"wascoCA_150km_shp","shp",1988,0.928289992119779
"wascoCA_150km_shp","shp",1989,0.308904649330181
"wascoCA_150km_shp","shp",1990,0.297872340425532
"wascoCA_150km_shp","shp",1991,2.17572892040977
"wascoCA_150km_shp","shp",1992,2.01733648542159
"wascoCA_150km_shp","shp",1993,1.56264775413712
"wascoCA_150km_shp","shp",1994,0.472025216706068
"wascoCA_150km_shp","shp",1995,3.03309692671395
"wascoCA_150km_shp","shp",1996,2.44050433412136
"wascoCA_150km_shp","shp",1997,1.08274231678487
"wascoCA_150km_shp","shp",1998,2.62726556343578
"wascoCA_150km_shp","shp",1999,1.32781717888101
"wascoCA_150km_shp","shp",2000,1.60204885736801
"wascoCA_150km_shp","shp",2001,1.84160756501182
"wascoCA_150km_shp","shp",2002,1.0575256107171
"wascoCA_150km_shp","shp",2003,1.0441292356186
"wascoCA_150km_shp","shp",2004,1.46493301812451
"wascoCA_150km_shp","shp",2005,1.90543735224586
"wascoCA_150km_shp","shp",2006,2.02364066193853
"wascoCA_150km_shp","shp",2007,0.602836879432624
"wascoCA_150km_shp","shp",2008,1.97084318360914
"wascoCA_150km_shp","shp",2009,1.22852639873916
"wascoCA_150km_shp","shp",2010,3.26635145784082
"wascoCA_150km_shp","shp",2011,1.53664302600473
"wascoCA_150km_shp","shp",2012,1.80851063829787
"wascoCA_150km_shp","shp",2013,0.0244286840031521
"wascoCA_150km_shp","shp",2014,1.4956658786446
"wascoCA_150km_shp","shp",2015,0.480693459416864
"wascoCA_150km_shp","shp",2016,1.98817966903073
"wascoCA_150km_shp","shp",2017,2.09062253743105
"wascoCA_150km_shp","shp",2018,1.30811662726556
"wascoCA_150km_shp","shp",2019,2.21513002364066
"wascoCA_150km_shp","shp",2020,0.690307328605201
