"county","FIPS","rcp","model","year","wetDays"
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1958,1122.19612416975
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1959,1076.41030850933
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1960,1109.69332442604
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1961,1060.8943072098
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1962,1136.43079624699
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1963,1346.18686276607
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1964,1317.56653506436
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1965,1384.41930043314
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1966,1362.74633207867
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1967,1067.65782435167
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1968,1269.82644399748
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1969,1062.82713527874
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1970,1035.44117768629
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1971,1154.29300889796
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1972,1261.66823104511
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1973,1167.01578117072
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1974,1474.37506742527
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1975,1586.67235898356
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1976,1069.43540398238
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1977,968.800665746884
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1978,855.470266536363
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1979,970.730793453679
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1980,1095.33579118704
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1981,1092.22905351196
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1982,1320.59948635175
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1983,1109.73554781435
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1984,1340.60799293184
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1985,1027.93280805072
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1986,1529.21172268893
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1987,1290.66050213767
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1988,1340.24573027152
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1989,1027.58436508011
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1990,1255.41980330791
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1991,1078.83486184383
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1992,1230.71051772835
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1993,1325.28252195808
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1994,1592.46025514504
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1995,893.643434629687
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1996,1121.43693806794
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1997,1466.39725007469
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1998,1260.43202996073
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",1999,1394.38144502139
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",2000,1436.06606268484
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",2001,1330.42347468326
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",2002,1245.27029526082
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",2003,1510.61797434869
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",2004,1100.10267786321
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",2005,1232.51840172742
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",2006,1110.25637930792
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",2007,1297.87127953599
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",2008,988.019075738385
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",2009,1285.12878183907
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",2010,1429.89119488717
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",2011,1339.84930627967
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",2012,1060.57349769154
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",2013,1262.11725977156
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",2014,1345.20908178762
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",2015,1290.25383299627
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",2016,1216.3803050909
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",2017,1276.85776984169
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",2018,1108.44845430987
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",2019,1270.34103260268
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",2020,1384.93268742685
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",2021,1428.67014460209
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",2022,1121.79302528705
"mtsunapeeNH_150km_shp","shp","rcp45","BNU-ESM",2023,1156.69491521873
