"county","FIPS","rcp","model","year","wetDays"
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1958,68.473063973064
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1959,61.1649831649832
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1960,66.4511784511784
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1961,39.0505050505051
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1962,44.3417508417508
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1963,44.8417508417508
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1964,42.9494949494949
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1965,48.7929292929293
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1966,26.9680134680135
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1967,36.486531986532
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1968,74.8804713804714
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1969,50.2508417508418
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1970,54.2996632996633
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1971,45.3350168350168
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1972,42.9057239057239
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1973,62.2491582491582
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1974,60.1936026936027
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1975,68.3552188552189
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1976,36.2070707070707
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1977,36.3333333333333
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1978,44.9225589225589
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1979,50.5925925925926
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1980,37.0942760942761
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1981,47.2575757575758
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1982,45.9124579124579
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1983,68.4023569023569
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1984,50.6649831649832
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1985,42.0505050505051
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1986,39.5976430976431
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1987,61.7255892255892
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1988,49.4579124579125
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1989,46.5572390572391
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1990,57.6127946127946
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1991,58.1026936026936
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1992,58.6599326599327
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1993,57.3619528619529
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1994,34.0555555555556
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1995,29.2626262626263
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1996,78.1464646464647
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1997,39.3703703703704
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1998,52.7087542087542
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1999,60.5505050505051
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",2000,52.9882154882155
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",2001,35.5218855218855
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",2002,33.3619528619529
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",2003,60.9612794612795
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",2004,44.7272727272727
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",2005,62.0538720538721
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",2006,68.5791245791246
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",2007,58.547138047138
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",2008,40.7508417508418
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",2009,70.2626262626263
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",2010,41.4612794612795
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",2011,62.6010101010101
