"county","FIPS","rcp","model","period","thres"
"wascoCA_100km_shp","shp","rcp45","BNU-ESM","1990-2019",18.960148276326
"wascoCA_100km_shp","shp","rcp45","BNU-ESM","2020-2049",18.8337159203711
"wascoCA_100km_shp","shp","rcp45","BNU-ESM","2050-2079",20.6981398780252
"wascoCA_100km_shp","shp","rcp85","BNU-ESM","1990-2019",18.512447843049
"wascoCA_100km_shp","shp","rcp85","BNU-ESM","2020-2049",18.8419780047668
"wascoCA_100km_shp","shp","rcp85","BNU-ESM","2050-2079",20.0928714768266
"wascoCA_100km_shp","shp","rcp45","CCSM4","1990-2019",18.4914399937647
"wascoCA_100km_shp","shp","rcp45","CCSM4","2020-2049",19.1566636559627
"wascoCA_100km_shp","shp","rcp45","CCSM4","2050-2079",19.5128578115061
"wascoCA_100km_shp","shp","rcp85","CCSM4","1990-2019",19.7523921996231
"wascoCA_100km_shp","shp","rcp85","CCSM4","2020-2049",18.2841831014835
"wascoCA_100km_shp","shp","rcp85","CCSM4","2050-2079",21.0048806736983
"wascoCA_100km_shp","shp","rcp45","CNRM-CM5","1990-2019",23.4355843983915
"wascoCA_100km_shp","shp","rcp45","CNRM-CM5","2020-2049",24.2315590470214
"wascoCA_100km_shp","shp","rcp45","CNRM-CM5","2050-2079",22.1349372555779
"wascoCA_100km_shp","shp","rcp85","CNRM-CM5","1990-2019",20.027286642159
"wascoCA_100km_shp","shp","rcp85","CNRM-CM5","2020-2049",23.1593086019702
"wascoCA_100km_shp","shp","rcp85","CNRM-CM5","2050-2079",22.1262954849346
"wascoCA_100km_shp","shp","rcp45","CSIRO-Mk3-6","1990-2019",18.4625443405514
"wascoCA_100km_shp","shp","rcp45","CSIRO-Mk3-6","2020-2049",18.5967569382841
"wascoCA_100km_shp","shp","rcp45","CSIRO-Mk3-6","2050-2079",21.1908309346623
"wascoCA_100km_shp","shp","rcp85","CSIRO-Mk3-6","1990-2019",17.2099271628031
"wascoCA_100km_shp","shp","rcp85","CSIRO-Mk3-6","2020-2049",21.1047001424784
"wascoCA_100km_shp","shp","rcp85","CSIRO-Mk3-6","2050-2079",21.0385235354884
"wascoCA_100km_shp","shp","rcp45","CanESM2","1990-2019",18.7599215655118
"wascoCA_100km_shp","shp","rcp45","CanESM2","2020-2049",21.8539405876496
"wascoCA_100km_shp","shp","rcp45","CanESM2","2050-2079",21.6985094617208
"wascoCA_100km_shp","shp","rcp85","CanESM2","1990-2019",18.9044444731106
"wascoCA_100km_shp","shp","rcp85","CanESM2","2020-2049",22.2225576033295
"wascoCA_100km_shp","shp","rcp85","CanESM2","2050-2079",26.7093190155076
"wascoCA_100km_shp","shp","rcp45","GFDL-ESM2G","1990-2019",17.574479638981
"wascoCA_100km_shp","shp","rcp45","GFDL-ESM2G","2020-2049",18.3232831336835
"wascoCA_100km_shp","shp","rcp45","GFDL-ESM2G","2050-2079",18.8082346118314
"wascoCA_100km_shp","shp","rcp85","GFDL-ESM2G","1990-2019",18.0977919331983
