"county","FIPS","rcp","model","year","wetDays"
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1958,0.900673400673401
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1959,0.54040404040404
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1960,1.07407407407407
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1961,0.131313131313131
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1962,1.7003367003367
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1963,0.272727272727273
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1964,0.341750841750842
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1965,1.32828282828283
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1966,1.24242424242424
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1967,0.271043771043771
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1968,1.24747474747475
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1969,0.562289562289562
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1970,0.0925925925925926
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1971,1.98484848484848
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1972,1.36363636363636
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1973,1.65656565656566
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1974,2.07407407407407
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1975,1.02188552188552
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1976,0.153198653198653
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1977,0.590909090909091
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1978,1.85690235690236
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1979,0.801346801346801
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1980,0.32996632996633
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1981,1.41750841750842
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1982,0.291245791245791
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1983,1.3030303030303
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1984,0.96969696969697
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1985,0.0774410774410774
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1986,0.294612794612795
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1987,1.15993265993266
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1988,0.786195286195286
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1989,0.846801346801347
"wascoCA_100km_shp","shp","rcp45","BNU-ESM",1990,0.865319865319865
