"county","FIPS","rcp","model","year","wetDays"
"wascoCA_150km_shp","shp","rcp45","BNU-ESM",1958,61.3735916777987
"wascoCA_150km_shp","shp","rcp45","BNU-ESM",1959,31.5463921867834
"wascoCA_150km_shp","shp","rcp45","BNU-ESM",1960,85.180467108087
"wascoCA_150km_shp","shp","rcp45","BNU-ESM",1961,23.3025565030915
"wascoCA_150km_shp","shp","rcp45","BNU-ESM",1962,80.0166291807278
"wascoCA_150km_shp","shp","rcp45","BNU-ESM",1963,26.6905869528287
"wascoCA_150km_shp","shp","rcp45","BNU-ESM",1964,36.024131161665
"wascoCA_150km_shp","shp","rcp45","BNU-ESM",1965,75.9757230186011
"wascoCA_150km_shp","shp","rcp45","BNU-ESM",1966,68.1374116165606
"wascoCA_150km_shp","shp","rcp45","BNU-ESM",1967,34.2337831627956
"wascoCA_150km_shp","shp","rcp45","BNU-ESM",1968,93.2062998516903
"wascoCA_150km_shp","shp","rcp45","BNU-ESM",1969,42.3196053395974
"wascoCA_150km_shp","shp","rcp45","BNU-ESM",1970,29.8593834485474
"wascoCA_150km_shp","shp","rcp45","BNU-ESM",1971,86.8605880436698
"wascoCA_150km_shp","shp","rcp45","BNU-ESM",1972,56.5073406048137
"wascoCA_150km_shp","shp","rcp45","BNU-ESM",1973,84.9716104953847
"wascoCA_150km_shp","shp","rcp45","BNU-ESM",1974,96.1139881804386
"wascoCA_150km_shp","shp","rcp45","BNU-ESM",1975,56.0780846646116
"wascoCA_150km_shp","shp","rcp45","BNU-ESM",1976,11.0609933554046
"wascoCA_150km_shp","shp","rcp45","BNU-ESM",1977,34.3626212878336
"wascoCA_150km_shp","shp","rcp45","BNU-ESM",1978,87.6666788081657
"wascoCA_150km_shp","shp","rcp45","BNU-ESM",1979,47.0719832667598
"wascoCA_150km_shp","shp","rcp45","BNU-ESM",1980,40.0779233110336
"wascoCA_150km_shp","shp","rcp45","BNU-ESM",1981,79.5526393156901
"wascoCA_150km_shp","shp","rcp45","BNU-ESM",1982,36.3304299053195
"wascoCA_150km_shp","shp","rcp45","BNU-ESM",1983,92.8897789653781
"wascoCA_150km_shp","shp","rcp45","BNU-ESM",1984,46.8319188141278
