"county","FIPS","rcp","model","year","wetDays"
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1958,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1959,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1960,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1961,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1962,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1963,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1964,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1965,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1966,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1967,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1968,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1969,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1970,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1971,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1972,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1973,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1974,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1975,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1976,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1977,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1978,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1979,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1980,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1981,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1982,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1983,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1984,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1985,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1986,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1987,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1988,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1989,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1990,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1991,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1992,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1993,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1994,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1995,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1996,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1997,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1998,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1999,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2000,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2001,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2002,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2003,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2004,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2005,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2006,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2007,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2008,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2009,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2010,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2011,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2012,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2013,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2014,0.356643356643357
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2015,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2016,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2017,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2018,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2019,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2020,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2021,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2022,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2023,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2024,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2025,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2026,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2027,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2028,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2029,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2030,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2031,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2032,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2033,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2034,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2035,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2036,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2037,0.0979020979020979
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2038,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2039,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2040,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2041,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2042,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2043,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2044,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2045,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2046,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2047,0.034965034965035
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2048,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2049,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2050,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2051,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2052,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2053,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2054,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2055,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2056,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2057,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2058,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2059,0.678321678321678
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2060,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2061,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2062,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2063,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2064,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2065,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2066,0.321678321678322
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2067,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2068,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2069,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2070,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2071,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2072,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2073,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2074,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2075,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2076,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2077,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2078,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2079,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2080,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2081,0.118881118881119
"wascoCA_50km_shp","shp","rcp85","BNU-ESM",1958,0
"wascoCA_50km_shp","shp","rcp85","BNU-ESM",1959,0
"wascoCA_50km_shp","shp","rcp85","BNU-ESM",1960,0
"wascoCA_50km_shp","shp","rcp85","BNU-ESM",1961,0
"wascoCA_50km_shp","shp","rcp85","BNU-ESM",1962,0
"wascoCA_50km_shp","shp","rcp85","BNU-ESM",1963,0
"wascoCA_50km_shp","shp","rcp85","BNU-ESM",1964,0
