"county","FIPS","rcp","model","period","thres"
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM","1990-2019",44.0267745235038
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM","2020-2049",41.9055902121101
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM","2050-2079",45.3001818853513
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM","1990-2019",44.7284762228561
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM","2020-2049",45.7307408502762
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM","2050-2079",46.1883033389939
"mtsunapeeNH_100km_shp","shp","rcp45","CCSM4","1990-2019",43.7961877981725
"mtsunapeeNH_100km_shp","shp","rcp45","CCSM4","2020-2049",44.0772140831716
"mtsunapeeNH_100km_shp","shp","rcp45","CCSM4","2050-2079",44.4466563584279
"mtsunapeeNH_100km_shp","shp","rcp85","CCSM4","1990-2019",42.4249559557924
"mtsunapeeNH_100km_shp","shp","rcp85","CCSM4","2020-2049",41.9009382925303
"mtsunapeeNH_100km_shp","shp","rcp85","CCSM4","2050-2079",50.8084737601569
"mtsunapeeNH_100km_shp","shp","rcp45","CNRM-CM5","1990-2019",46.0882034692861
"mtsunapeeNH_100km_shp","shp","rcp45","CNRM-CM5","2020-2049",48.0601567724998
"mtsunapeeNH_100km_shp","shp","rcp45","CNRM-CM5","2050-2079",48.9985709593522
"mtsunapeeNH_100km_shp","shp","rcp85","CNRM-CM5","1990-2019",43.808465604891
"mtsunapeeNH_100km_shp","shp","rcp85","CNRM-CM5","2020-2049",46.6846494128266
"mtsunapeeNH_100km_shp","shp","rcp85","CNRM-CM5","2050-2079",50.8218915805431
"mtsunapeeNH_100km_shp","shp","rcp45","CSIRO-Mk3-6","1990-2019",39.759789495472
"mtsunapeeNH_100km_shp","shp","rcp45","CSIRO-Mk3-6","2020-2049",45.7109574024075
"mtsunapeeNH_100km_shp","shp","rcp45","CSIRO-Mk3-6","2050-2079",48.0379433710965
"mtsunapeeNH_100km_shp","shp","rcp85","CSIRO-Mk3-6","1990-2019",41.2764303728161
"mtsunapeeNH_100km_shp","shp","rcp85","CSIRO-Mk3-6","2020-2049",48.3744503625003
"mtsunapeeNH_100km_shp","shp","rcp85","CSIRO-Mk3-6","2050-2079",49.7820697129143
"mtsunapeeNH_100km_shp","shp","rcp45","CanESM2","1990-2019",42.6712697139875
"mtsunapeeNH_100km_shp","shp","rcp45","CanESM2","2020-2049",47.3094609679627
"mtsunapeeNH_100km_shp","shp","rcp45","CanESM2","2050-2079",49.9286288454749
"mtsunapeeNH_100km_shp","shp","rcp85","CanESM2","1990-2019",42.9396112700597
"mtsunapeeNH_100km_shp","shp","rcp85","CanESM2","2020-2049",48.2366918407854
"mtsunapeeNH_100km_shp","shp","rcp85","CanESM2","2050-2079",49.5051432246112
"mtsunapeeNH_100km_shp","shp","rcp45","GFDL-ESM2G","1990-2019",44.5554714904101
