"county","FIPS","rcp","model","year","wetDays"
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1958,56.6580450693766
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1959,69.4060214649547
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1960,48.4520969795458
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1961,33.2638573675445
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1962,95.3812732696533
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1963,152.166726199063
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1964,105.354745651014
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1965,109.826942010359
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1966,146.821888634653
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1967,28.0330480170972
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1968,112.205045549797
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1969,19.3587508577289
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1970,3.47016840270071
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1971,69.3127478570649
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1972,126.237765560728
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1973,6.21084345037287
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1974,262.188874840014
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1975,135.884913461859
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1976,1.23047368020722
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1977,10.3792060794252
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1978,29.5562725529526
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1979,56.0474999803485
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1980,28.011402945085
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1981,64.6642158855092
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1982,73.8963297930631
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1983,65.0808579300389
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1984,21.2746292981234
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1985,123.74769820011
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1986,101.336603586601
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1987,194.493793776541
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1988,148.525732820684
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1989,73.9354955673218
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1990,191.062280620228
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1991,117.104794652534
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1992,88.8420016259858
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1993,74.432083343737
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1994,227.389619954427
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1995,62.885505809206
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1996,54.2691609873916
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1997,185.92314897595
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1998,197.675995231397
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1999,211.57030840787
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2000,109.056465588194
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2001,121.622070786447
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2002,158.567653482611
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2003,139.071168968894
