"county","FIPS","rcp","model","year","wetDays"
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1958,0.686363636363636
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1959,1.02121212121212
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1960,0.560606060606061
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1961,0.318181818181818
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1962,1.38787878787879
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1963,1.94090909090909
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1964,1.49545454545455
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1965,1.44242424242424
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1966,1.67272727272727
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1967,0.31969696969697
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1968,1.59848484848485
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1969,0.134848484848485
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1970,0.0257575757575758
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1971,1.07727272727273
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1972,1.7469696969697
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1973,0.0257575757575758
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1974,3.82878787878788
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1975,1.63636363636364
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1976,0.0106060606060606
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1977,0.166666666666667
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1978,0.312121212121212
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1979,0.856060606060606
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1980,0.343939393939394
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1981,0.88030303030303
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1982,1.03636363636364
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1983,0.903030303030303
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1984,0.125757575757576
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1985,1.31363636363636
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1986,1.31060606060606
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1987,2.68484848484849
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1988,2.0030303030303
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1989,1.04848484848485
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1990,2.19393939393939
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1991,1.7469696969697
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1992,1.18939393939394
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1993,0.818181818181818
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1994,3.04545454545455
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1995,0.765151515151515
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1996,0.713636363636364
