"county","FIPS","rcp","model","year","wetDays"
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1958,1080.52344917953
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1959,1038.159042713
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1960,1078.0017231021
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1961,1024.03767426678
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1962,1102.1981498353
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1963,1304.15741597224
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1964,1284.99930216304
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1965,1342.69846953863
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1966,1324.9683164415
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1967,1036.68524834974
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1968,1227.39436736414
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1969,1030.90138521614
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1970,993.730846933885
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1971,1116.1683685845
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1972,1212.48670615811
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1973,1130.4659981477
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1974,1429.19774405193
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1975,1544.43521810305
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1976,1027.19992325956
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1977,931.210225108266
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1978,817.189962441587
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1979,928.101300555829
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1980,1054.48202097014
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1981,1051.8665399341
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1982,1274.3114282231
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1983,1078.62222145841
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1984,1295.3290028831
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1985,987.619714873126
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1986,1476.12547653123
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1987,1261.32598171112
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1988,1298.16618541673
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1989,985.210144837743
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1990,1218.78597747498
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1991,1031.91595963727
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1992,1191.24374057364
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1993,1277.10849623373
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1994,1559.47328580013
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1995,868.230688766503
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1996,1086.96341381534
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1997,1432.28427171635
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1998,1231.50476954164
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",1999,1356.66596177162
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2000,1404.02639684501
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2001,1298.83116353827
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2002,1206.24733273753
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2003,1460.90726062109
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2004,1068.69251360491
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2005,1194.30790053561
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2006,1075.89141747807
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2007,1260.3208864352
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2008,953.651673879723
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2009,1243.19145519873
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2010,1383.94293867932
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2011,1297.000461367
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2012,1022.70242893689
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2013,1230.42698462303
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2014,1300.26285909256
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2015,1246.77898824594
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2016,1180.45953322924
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2017,1236.77820054776
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2018,1069.37613766252
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2019,1223.42031571201
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2020,1341.0830639338
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2021,1393.90624209227
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2022,1090.3086454475
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2023,1122.5302524405
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2024,1127.25003270069
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2025,1209.45235918923
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2026,1395.0569229881
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2027,1464.77279103489
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2028,1352.98755286801
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2029,1008.53315154233
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2030,1339.82239486629
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2031,1045.80325803612
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2032,986.995211333285
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2033,1185.55266592837
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2034,1259.89521848907
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2035,1260.46791235019
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2036,1281.60715347452
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2037,1170.52925791384
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2038,1433.92913468995
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2039,1187.22852631049
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2040,1392.10053593645
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2041,1388.52626112451
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2042,1391.59993697983
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2043,1336.82530116732
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2044,1196.64465560055
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2045,1256.7122913879
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2046,1316.42136169085
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2047,1243.37737928931
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2048,1405.63557794498
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2049,1117.99283161326
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2050,1296.03322734855
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2051,1282.64969112778
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2052,1368.82050351812
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2053,963.011954629873
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2054,1178.45937664825
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2055,1235.90703096579
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2056,1347.55322387273
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2057,1462.71961060902
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2058,1165.33151429977
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2059,1271.69146874114
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2060,1077.0432894394
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2061,1158.63617198567
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2062,1121.21252793006
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2063,1419.27926855376
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2064,1357.08243991078
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2065,1083.34086517823
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2066,1299.71765728688
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2067,1391.80919214067
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2068,1024.44935600419
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2069,1246.08910882468
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2070,1082.26006649168
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2071,1490.4018706086
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2072,1307.44316652277
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2073,1548.95182664751
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2074,1215.53610192885
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2075,1187.80905954179
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2076,1142.80483314693
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2077,1202.07541080989
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2078,975.9057722741
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2079,1330.50639968812
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2080,1057.55024605197
"mtsunapeeNH_100km_shp","shp","rcp45","BNU-ESM",2081,1668.85868328909
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1958,1080.52344917953
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1959,1038.159042713
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1960,1078.0017231021
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1961,1024.03767426678
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1962,1102.1981498353
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1963,1304.15741597224
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1964,1284.99930216304
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1965,1342.69846953863
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1966,1324.9683164415
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1967,1036.68524834974
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1968,1227.39436736414
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1969,1030.90138521614
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1970,993.730846933885
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1971,1116.1683685845
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1972,1212.48670615811
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1973,1130.4659981477
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1974,1429.19774405193
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1975,1544.43521810305
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1976,1027.19992325956
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1977,931.210225108266
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1978,817.189962441587
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1979,928.101300555829
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1980,1054.48202097014
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1981,1051.8665399341
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1982,1274.3114282231
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1983,1078.62222145841
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1984,1295.3290028831
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1985,987.619714873126
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1986,1476.12547653123
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1987,1261.32598171112
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1988,1298.16618541673
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1989,985.210144837743
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1990,1218.78597747498
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1991,1031.91595963727
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1992,1191.24374057364
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1993,1277.10849623373
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1994,1559.47328580013
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1995,868.230688766503
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1996,1086.96341381534
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1997,1432.28427171635
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1998,1231.50476954164
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",1999,1356.66596177162
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2000,1404.02639684501
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2001,1298.83116353827
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2002,1206.24733273753
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2003,1460.90726062109
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2004,1068.69251360491
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2005,1194.30790053561
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2006,1115.47438593128
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2007,1062.74313892018
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2008,1517.30683519348
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2009,1233.13844820582
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2010,1524.41830574143
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2011,1048.46637277012
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2012,1163.49686233329
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2013,1322.952250723
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2014,1007.70324116643
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2015,1054.8327873458
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2016,1040.58787770899
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2017,1297.87457072256
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2018,866.479004474752
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2019,1269.23338013359
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2020,783.446887281989
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2021,1415.04217623892
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2022,1271.85099192582
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2023,997.291647155628
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2024,1319.32651694221
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2025,1413.87239231016
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2026,1507.60299283257
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2027,1233.63346931709
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2028,1527.5633902687
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2029,1432.08670598246
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2030,1442.03435880668
"mtsunapeeNH_100km_shp","shp","rcp85","BNU-ESM",2031,1459.70379240441
