"county","FIPS","rcp","model","centralDecade","aveWetDays","fiveYrAveWetDaysCentYr_.10","fiveYrAveWetDaysCentYr_.9","fiveYrAveWetDaysCentYr_.8","fiveYrAveWetDaysCentYr_.7","fiveYrAveWetDaysCentYr_.6","fiveYrAveWetDaysCentYr_.5","fiveYrAveWetDaysCentYr_.4","fiveYrAveWetDaysCentYr_.3","fiveYrAveWetDaysCentYr_.2","fiveYrAveWetDaysCentYr_.1","fiveYrAveWetDaysCentYr_0","fiveYrAveWetDaysCentYr_1","fiveYrAveWetDaysCentYr_2","fiveYrAveWetDaysCentYr_3","fiveYrAveWetDaysCentYr_4","fiveYrAveWetDaysCentYr_5","fiveYrAveWetDaysCentYr_6","fiveYrAveWetDaysCentYr_7","fiveYrAveWetDaysCentYr_8","fiveYrAveWetDaysCentYr_9","fiveYrAveWetDaysCentYr_10","fiveYrAveWetDaysCentYr_11","fiveYrAveWetDaysCentYr_12","fiveYrAveWetDaysCentYr_13","fiveYrAveWetDaysCentYr_14","fiveYrAveWetDaysCentYr_15","fiveYrAveWetDaysCentYr_16","fiveYrAveWetDaysCentYr_17","fiveYrAveWetDaysCentYr_18","fiveYrAveWetDaysCentYr_19"
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2000,0.0118881118881119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0713286713286713,0.0713286713286713,0.0713286713286713,0.0713286713286713,0.0713286713286713,0,0,0
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2030,0.00442890442890443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195804195804196,0.0195804195804196,0.0195804195804196,0.0195804195804196,0.0195804195804196,0,0,0,0,0,0.00699300699300699,0.00699300699300699,0.00699300699300699,0.00699300699300699,0.00699300699300699
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",2060,0.0333333333333333,0,0,0,0,0,0,0,0.135664335664336,0.135664335664336,0.135664335664336,0.135664335664336,0.135664335664336,0,0,0.0643356643356643,0.0643356643356643,0.0643356643356643,0.0643356643356643,0.0643356643356643,0,0,0,0,0,0,0,0,0,0,0.0237762237762238
"wascoCA_50km_shp","shp","rcp85","BNU-ESM",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"wascoCA_50km_shp","shp","rcp85","BNU-ESM",2000,0.00885780885780886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0531468531468531,0.0531468531468531,0.0531468531468531,0.0531468531468531,0.0531468531468531,0,0,0,0,0,0,0,0,0,0,0
"wascoCA_50km_shp","shp","rcp85","BNU-ESM",2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307692307692308,0.0307692307692308
"wascoCA_50km_shp","shp","rcp85","BNU-ESM",2060,0.0377622377622378,0.0307692307692308,0.0307692307692308,0.0307692307692308,0,0,0,0,0,0,0,0,0.172027972027972,0.172027972027972,0.172027972027972,0.172027972027972,0.172027972027972,0.0237762237762238,0.0237762237762238,0.0237762237762238,0.0237762237762238,0.0237762237762238,0,0,0,0,0,0,0,0,0
"wascoCA_50km_shp","shp","rcp45","CCSM4",1970,0.000932400932400932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00559440559440559,0.00559440559440559,0.00559440559440559,0.00559440559440559,0.00559440559440559
"wascoCA_50km_shp","shp","rcp45","CCSM4",2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
