"county","FIPS","rcp","model","year","wetDays"
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1958,231.393574166756
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1959,175.956030904205
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1960,272.966519536464
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1961,113.851637065827
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1962,193.793752361219
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1963,144.067674656014
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1964,155.506080064636
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1965,211.402892766299
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1966,117.345147493836
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1967,129.49307078915
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1968,296.624232040835
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1969,199.537986397118
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1970,163.711797067127
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1971,211.437443628595
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1972,189.023110064385
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1973,263.955455889235
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1974,282.557991513006
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1975,233.931592689944
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1976,80.9576480371969
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1977,141.593070442026
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1978,175.003379602324
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1979,175.058132095562
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1980,122.904098289205
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1981,211.631587261712
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1982,166.08822263621
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1983,265.458770312421
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1984,174.691656968289
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1985,126.029353640505
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1986,126.014109833257
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1987,218.688691356591
"wascoCA_50km_shp","shp","rcp45","BNU-ESM",1988,169.771141334013
