,name,CHAL1_ans,CHAL1_txt,Primary cycle code,CHAL1_con,CHAL1_lik,CHAL2_ans,CHAL2_txt,Primary cycle code,CHAL2_con,CHAL2_lik
6,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),no interruptions from the rain,fix and forget,extremely confident,,no,no danger of flood damage,low risk of flooding,extremely confident,
10,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Will cost less in long run,saves money,extremely confident,,yes,To avoid out of pocket expenses ,avoid damage and its costs,extremely confident,
28,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Best economic choice,best economic choice,extremely confident,,no,I do not live in a flood plain,not in a flood zone,extremely confident,
33,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,protection for 4 heavy rainfall events with the best economical solution,best economic choice,moderately confident,,yes,There is a great chance for many flooding events,risk of flood(s),not very confident,
37,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),I'm not great with graphs but it looks like there was at least 2 to 3 big rainfall events so pave it and you won't worrie.,fix and forget,moderately confident,,yes,It has already had a flood event so I'm not sure from your graph but I would get the insurance. ,history of flood,moderately confident,
39,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,Years,long lasting,extremely confident,very likely,no,No flood insurance in Florida ,confusion about personal home,not very confident,very unlikely
41,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,None,no comment,very confident,likely,no,None,no comment,very confident,likely
48,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),The advantages it offers,advantages it offers,very confident,likely,yes,To cover any possible future damage,avoid damage and its costs,moderately confident,likely
54,Area_Freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,Doing anything cuz I don't understand what the you're talking about,I don't understand,very confident,unlikely,yes,Because I live in Louisiana,confusion about personal home,extremely confident,unlikely
56,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),No idea,I don't know,very confident,very likely,yes,N/A,no comment,moderately confident,very likely
60,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,N/a,no comment,moderately confident,virtually certain,no,Money ,too expensive,moderately confident,very likely
63,Area_Freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,Not sure ,I don't know,moderately confident,likely,yes,Not sure ,I don't know,moderately confident,likely
71,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,Send the picture,?,moderately confident,virtually certain,yes,It’s right there in the graph,based on the graph,moderately confident,virtually certain
74,Area_Freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Longevity ,long lasting,extremely confident,very likely,no,Not in a flood zone,not in a flood zone,extremely confident,very likely
82,Area_Freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,This fits very well,feels right,extremely confident,very likely,yes,The information  look clear,the description,extremely confident,virtually certain
