"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",5.14964265552014,0.270249887659266,19.0551148795032,4.87264729694844e-70
"val",-0.0428512921009109,0.017542174063404,-2.44275834603112,0.0147344574981454
"nameBox",-0.0850615155354829,0.0989291282746336,-0.859822754116934,0.390077041059651
"nameArea",0.00163663566508249,0.0980861909399783,0.0166856888762659,0.986690437502909
"divisionWest North Central",-0.0228711745505872,0.187510249123935,-0.121972930319507,0.902943084709419
"divisionEast North Central",-0.0879249472442816,0.135684313118363,-0.648011146045903,0.517115095251598
"divisionMiddle Atlantic",0.146474254242731,0.133061571450791,1.10080057409287,0.271228065034479
"divisionMountain",0.278905301150042,0.178808897365443,1.55979543109662,0.119100385622085
"divisionWest South Central",0.125234210202039,0.143028535569076,0.875588984420219,0.381447665297688
"divisionPacific",0.00269976449892663,0.145844862873819,0.0185112073591675,0.985234446574241
"divisionEast South Central",0.0474840376619768,0.175153975192264,0.271098829529015,0.786366683271259
"divisionNew England",-0.0965922128754797,0.248454075619578,-0.388772905554495,0.697520564206957
"genderFemale",0.187253883243893,0.0850699320933107,2.20117588713366,0.027933959252186
"genderNon-binary / third gender",1.03355359978141,0.674232450451774,1.53293363303541,0.125584260835436
"genderPrefer to self-describe",0.615042026244681,0.672929713832891,0.913976621334654,0.360932561595232
"genderPrefer not to say",0.624118580677342,0.949173529937252,0.657538965207554,0.510974147618406
"age",-0.000820787177899245,0.00341210578822465,-0.240551503629173,0.809948268327006
"latinoYes",0.00738271968968523,0.136594334662678,0.0540485058030921,0.956906486866511
"racelargeblack",0.100066368023997,0.116242355815465,0.860842567427426,0.389515294202708
"racelargeasian",0.132655604767984,0.193819074632751,0.684430080059667,0.49385006105944
"racelargeindian",0.693866493345975,0.341985077663156,2.02893792351201,0.0427088514733272
"racelargeislander",-1.75690533982062,0.777041530871995,-2.2610185813994,0.0239558800853781
"racelargeother",-0.418567723923696,0.25523540570226,-1.63992813917035,0.101310511745805
"racelargeprefer",-0.721353924619793,0.475541533216197,-1.51691045730772,0.12958111883071
"as.numeric(edunum)",-0.0229464513237468,0.0305660826693439,-0.750716131078218,0.452986587731383
"workOther",0.316506326360699,0.211833073155375,1.49413083446393,0.135432714069337
"workRetired",-0.0512058394373365,0.140358498423004,-0.364821795706417,0.715315660707555
"workStudent",-0.339769600705474,0.242382284152652,-1.40179222212251,0.161263830197703
"workA homemaker or stay-at-home parent",-0.239214929526843,0.178943217288926,-1.3368203229553,0.181562038144963
"workUnemployed and looking for work",-0.317344735494724,0.143205536759764,-2.21600884068533,0.0268981805849643
"workWorking part-time",-0.0896420168791571,0.13199305267561,-0.679141932564164,0.497193047011396
"politics",0.0214039886292233,0.0153777934938479,1.39187645079161,0.164245587817769
"money",-8.1064000917807e-07,7.09572671018618e-07,-1.14243409066807,0.253526129752009
"clim",0.0893874235431153,0.0119079316536727,7.5065448931718,1.26433246292083e-13
