"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",5.02341286015052,0.241461130481258,20.8042298573618,3.86314516649374e-81
"val",0.0212082698517052,0.0156734687926643,1.35313185181007,0.176295892678761
"nameBox",-0.126241541214477,0.0883905608902089,-1.42822423506604,0.153515638358676
"nameArea",-0.147573226613093,0.0876374186650126,-1.68390658763217,0.0924878898913116
"divisionWest North Central",0.151592268115811,0.167535450698772,0.904836961273187,0.365753006266999
"divisionEast North Central",-0.204972473066762,0.121230346913003,-1.69076867538665,0.0911687311560944
"divisionMiddle Atlantic",0.210371884680481,0.118886996566044,1.76951130701343,0.0770899519442158
"divisionMountain",0.421938408532473,0.159761022925579,2.64105975791745,0.00838369088260295
"divisionWest South Central",0.211845038268639,0.127792215525844,1.65773038206538,0.0976615025295906
"divisionPacific",0.28105658785461,0.130308529522118,2.15685488037761,0.0312364907448623
"divisionEast South Central",-0.0647116144298026,0.156495446582881,-0.413504775012932,0.67931868945325
"divisionNew England",-0.0326104417745939,0.221987148603066,-0.146902385925522,0.8832364097563
"genderFemale",-0.0517364919669866,0.0760077354744847,-0.680674034609993,0.496223264125479
"genderNon-binary / third gender",-0.22068459949069,0.60240887092799,-0.366336901962837,0.714185249360142
"genderPrefer to self-describe",0.28352659542097,0.601244910197277,0.471565897045085,0.637331657284985
"genderPrefer not to say",-1.29583498767967,0.848061457292811,-1.5279965579573,0.126805388774704
"age",0.000605474581634194,0.00304862632166989,0.198605705569892,0.842608465986658
"latinoYes",0.03604547309457,0.122043427106137,0.295349564898914,0.767783469718539
"racelargeblack",-0.0182664195792285,0.103859472017229,-0.175876299238247,0.860424004738558
"racelargeasian",-0.031822179420071,0.173172219515078,-0.183760302369401,0.85423589858032
"racelargeindian",0.216763636134371,0.305554626407021,0.709410420922987,0.478222517930062
"racelargeislander",-0.500206023677125,0.694266066492504,-0.720481740097441,0.471383913813101
"racelargeother",-0.34592600495502,0.228046087765311,-1.51691269227571,0.129580554517789
"racelargeprefer",-0.715651728489031,0.424883788836005,-1.6843469845004,0.0924027701817213
"as.numeric(edunum)",-0.00822531455657205,0.0273099868408782,-0.301183395089016,0.763332466166245
"workOther",0.208441932056657,0.189267250989224,1.10131008384818,0.271006427124016
"workRetired",-0.0832102416280913,0.125406607919115,-0.663523581482728,0.507136494750592
"workStudent",-0.0229604312422225,0.216562163437118,-0.106022358097145,0.915584247119839
"workA homemaker or stay-at-home parent",-0.0840830273316908,0.159881034226421,-0.525909953851148,0.599058441226462
"workUnemployed and looking for work",-0.251682596426892,0.12795036141064,-1.96703310293239,0.0494343661515063
"workWorking part-time",-0.209725866510572,0.117932303287055,-1.77835809752724,0.075625548220178
"politics",0.018829717227633,0.0137396519698591,1.37046537051594,0.170825663824501
"money",-7.63454912429476e-07,6.3398442377442e-07,-1.20421714445957,0.228768776120897
"clim",0.0859524008050366,0.0106394221425712,8.07867191030218,1.73504352985424e-15
