"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",6.33381678539604,0.410419697878203,15.4325360555079,0.000000000000000000000000000000000000000000000000697323315416559
"nameBox",-0.320653341941839,0.168417628867548,-1.90391792176351,0.057175818069761
"nameArea",-0.557654483934495,0.166331204506334,-3.35267507735301,0.000826979733337066
"regionMidwest",0.410880432620634,0.184196483869707,2.23066382152698,0.0258999768730822
"regionNortheast",0.139003400360749,0.190262134131889,0.730588884619533,0.465182420469303
"regionWest",0.211073906995548,0.194917321231975,1.08288943056192,0.279089543715826
"genderFemale",0.0330122099798843,0.14438021509776,0.228647740672306,0.81918427060758
"genderNon-binary / third gender",0.85199248322008,1.16973209296828,0.728365485004425,0.466541464708632
"genderPrefer to self-describe",-2.06755001657578,1.16507497727498,-1.77460683381221,0.0762332063832789
"genderPrefer not to say",-1.55792615008829,1.64717474685041,-0.945817165462999,0.344444943764302
"age",0.00438973339937177,0.00581746416190379,0.754578503142031,0.450659848489175
"latinoYes",-0.329436900373487,0.233844512730519,-1.40878610546286,0.159174743937464
"racelargeblack",-0.791530532325233,0.197871196452908,-4.0002311933946,0.0000674146806659942
"racelargeasian",0.0110164309412185,0.32768176091469,0.0336192985244806,0.97318669663094
"racelargeindian",0.17203768479173,0.574872622482618,0.299262267959076,0.764795217133523
"racelargeislander",-1.8556131718794,1.3453812156601,-1.37924712362582,0.168092690283127
"racelargeother",0.148696247999636,0.437077586553543,0.34020561239971,0.733765202556655
"racelargeprefer",0.068730400090841,0.823773710640259,0.083433592506153,0.933521621640564
"as.numeric(edunum)",0.160607155474857,0.0519179915162037,3.09347782501815,0.00202702398740694
"workOther",0.225594459861121,0.359816142647129,0.626971481049868,0.530805141683764
"workRetired",-0.00156638624078181,0.238829474273809,-0.00655859686307397,0.994768197123866
"workStudent",0.891947356936518,0.403505886368818,2.21049404003303,0.0272715433937638
"workA homemaker or stay-at-home parent",-0.0157541883819988,0.309384790378936,-0.0509210176838462,0.959397496907316
"workUnemployed and looking for work",0.332392966438221,0.24621436438576,1.35001451790782,0.177282875269397
"workWorking part-time",0.111113665194153,0.225264263341589,0.493259177225377,0.621925738377789
"politics",-0.0422552120361107,0.0262095273872211,-1.61220808799143,0.107197142405537
"money",0.000000186323465707537,0.00000118125759682169,0.157733136454623,0.874695393775798
"clim",0.00747796843942253,0.0203352179863552,0.367734855089344,0.713140119792827
