"word","count","topic","color"
"logical choice",36,"Perception and Personal Judgment","#33A02C"
"cost effective",35,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"to be prepared and protect",26,"Protection and Preparedness","#FB9A99"
"fix and forget",19,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"feels right",18,"Perception and Personal Judgment","#33A02C"
"I don't know",18,"No Reason","#E31A1C"
"saves money",18,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"cost benefit analysis",16,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in rainfall",16,"Rainfall and Flood Risk Assessment","#1F78B4"
"long lasting",14,"Protection and Preparedness","#FB9A99"
"based on the graph",13,"Data Interpretation and Understanding","#B2DF8A"
"best economic choice",10,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",9,"No Reason","#E31A1C"
"based on 2 events",9,"Data Interpretation and Understanding","#B2DF8A"
"no comment",9,"No Reason","#E31A1C"
"safe than sorry",9,"Protection and Preparedness","#FB9A99"
"protection of home and family",8,"Protection and Preparedness","#FB9A99"
"amount of rain",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"freeboard added",6,"Data Interpretation and Understanding","#B2DF8A"
"I don't understand",6,"Data Interpretation and Understanding","#B2DF8A"
"low maintenance",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"advantages it offers",5,"Perception and Personal Judgment","#33A02C"
"avoid damage and its costs",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"not needed",5,"Protection and Preparedness","#FB9A99"
"based on 4 events",4,"Data Interpretation and Understanding","#B2DF8A"
"based on average",4,"Data Interpretation and Understanding","#B2DF8A"
"based on emissions scenario(s)/ projections",4,"Data Interpretation and Understanding","#B2DF8A"
"confusion about personal home",4,"Data Interpretation and Understanding","#B2DF8A"
"erosion control",4,"Perception and Personal Judgment","#33A02C"
"weather is unpredictable",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"best level of protection",3,"Protection and Preparedness","#FB9A99"
"little to no change in risk",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"change in rainfall",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"likely to move",2,"Perception and Personal Judgment","#33A02C"
"not in a flood zone",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"risk of flood(s)",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"too expensive",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"watch and decide later",2,"Protection and Preparedness","#FB9A99"
"acceptable damage costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on prior experience",1,"Perception and Personal Judgment","#33A02C"
"high amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"history of flood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase in risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase property value",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"it is only rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"the description",1,"Data Interpretation and Understanding","#B2DF8A"
"wrong answer",1,"Data Interpretation and Understanding","#B2DF8A"
