"word","count","topic","color"
"to be prepared and protect",9,"Protection and Preparedness","#FB9A99"
"cost effective",8,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"feels right",7,"Perception and Personal Judgment","#33A02C"
"fix and forget",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"cost benefit analysis",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",4,"Perception and Personal Judgment","#33A02C"
"based on the graph",3,"Data Interpretation and Understanding","#B2DF8A"
"best economic choice",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"long lasting",3,"Protection and Preparedness","#FB9A99"
"safe than sorry",3,"Protection and Preparedness","#FB9A99"
"?",2,"No Reason","#E31A1C"
"amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"avoid damage and its costs",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on average",2,"Data Interpretation and Understanding","#B2DF8A"
"best level of protection",2,"Protection and Preparedness","#FB9A99"
"confusion about personal home",2,"Data Interpretation and Understanding","#B2DF8A"
"freeboard added",2,"Data Interpretation and Understanding","#B2DF8A"
"good investment",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in rainfall",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"no comment",2,"No Reason","#E31A1C"
"saves money",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"advantages it offers",1,"Perception and Personal Judgment","#33A02C"
"based on 2 events",1,"Data Interpretation and Understanding","#B2DF8A"
"based on 4 events",1,"Data Interpretation and Understanding","#B2DF8A"
"based on emissions scenario(s)/ projections",1,"Data Interpretation and Understanding","#B2DF8A"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"environmental impact",1,"Perception and Personal Judgment","#33A02C"
"I don't believe it",1,"Perception and Personal Judgment","#33A02C"
"I don't know",1,"No Reason","#E31A1C"
"I don't understand",1,"Data Interpretation and Understanding","#B2DF8A"
"it is only rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"little to no change in risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"low maintenance",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"more information wanted",1,"Data Interpretation and Understanding","#B2DF8A"
"protection of home and family",1,"Protection and Preparedness","#FB9A99"
"risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"watch and decide later",1,"Protection and Preparedness","#FB9A99"
"weather is unpredictable",1,"Rainfall and Flood Risk Assessment","#1F78B4"
