"word","count","topic","color"
"cost effective",9,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"feels right",7,"Perception and Personal Judgment","#33A02C"
"logical choice",7,"Perception and Personal Judgment","#33A02C"
"long lasting",6,"Protection and Preparedness","#FB9A99"
"based on the graph",5,"Data Interpretation and Understanding","#B2DF8A"
"?",4,"No Reason","#E31A1C"
"saves money",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on 4 events",3,"Data Interpretation and Understanding","#B2DF8A"
"erosion control",3,"Perception and Personal Judgment","#33A02C"
"fix and forget",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in rainfall",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"no comment",3,"No Reason","#E31A1C"
"to be prepared and protect",3,"Protection and Preparedness","#FB9A99"
"based on emissions scenario(s)/ projections",2,"Data Interpretation and Understanding","#B2DF8A"
"cost benefit analysis",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't know",2,"No Reason","#E31A1C"
"safe than sorry",2,"Protection and Preparedness","#FB9A99"
"advantages it offers",1,"Perception and Personal Judgment","#33A02C"
"amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on 2 events",1,"Data Interpretation and Understanding","#B2DF8A"
"based on average",1,"Data Interpretation and Understanding","#B2DF8A"
"based on prior experience",1,"Perception and Personal Judgment","#33A02C"
"best level of protection",1,"Protection and Preparedness","#FB9A99"
"change in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase in risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"low maintenance",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"watch and decide later",1,"Protection and Preparedness","#FB9A99"
