"word","count","topic","color"
"cost effective",51,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",35,"Perception and Personal Judgment","#33A02C"
"long lasting",28,"Protection and Preparedness","#FB9A99"
"fix and forget",25,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"cost benefit analysis",24,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"feels right",21,"Perception and Personal Judgment","#33A02C"
"I don't know",15,"No Reason","#E31A1C"
"increase in rainfall",15,"Rainfall and Flood Risk Assessment","#1F78B4"
"saves money",15,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"best economic choice",14,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"to be prepared and protect",14,"Protection and Preparedness","#FB9A99"
"?",11,"No Reason","#E31A1C"
"based on the graph",10,"Data Interpretation and Understanding","#B2DF8A"
"erosion control",9,"Perception and Personal Judgment","#33A02C"
"based on 4 events",7,"Data Interpretation and Understanding","#B2DF8A"
"low maintenance",7,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"advantages it offers",6,"Perception and Personal Judgment","#33A02C"
"avoid damage and its costs",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on average",6,"Data Interpretation and Understanding","#B2DF8A"
"best level of protection",6,"Protection and Preparedness","#FB9A99"
"no comment",6,"No Reason","#E31A1C"
"safe than sorry",6,"Protection and Preparedness","#FB9A99"
"amount of rain",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"confusion about personal home",5,"Data Interpretation and Understanding","#B2DF8A"
"freeboard added",5,"Data Interpretation and Understanding","#B2DF8A"
"low risk of flooding",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"protection of home and family",5,"Protection and Preparedness","#FB9A99"
"not needed",4,"Protection and Preparedness","#FB9A99"
"weather is unpredictable",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on 2 events",3,"Data Interpretation and Understanding","#B2DF8A"
"based on emissions scenario(s)/ projections",3,"Data Interpretation and Understanding","#B2DF8A"
"low amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"risk of flood(s)",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"too expensive",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"acceptable damage costs",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"high amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase property value",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"not in a flood zone",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on prior experience",1,"Perception and Personal Judgment","#33A02C"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"change in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't believe it",1,"Perception and Personal Judgment","#33A02C"
"I don't understand",1,"Data Interpretation and Understanding","#B2DF8A"
"insurance costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"it is only rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"more information wanted",1,"Data Interpretation and Understanding","#B2DF8A"
"not worth the cost",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"the description",1,"Data Interpretation and Understanding","#B2DF8A"
"watch and decide later",1,"Protection and Preparedness","#FB9A99"
"wrong answer",1,"Data Interpretation and Understanding","#B2DF8A"
