"word","count","topic","color"
"cost effective",15,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",12,"Perception and Personal Judgment","#33A02C"
"cost benefit analysis",10,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"to be prepared and protect",10,"Protection and Preparedness","#FB9A99"
"saves money",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",4,"No Reason","#E31A1C"
"based on average",4,"Data Interpretation and Understanding","#B2DF8A"
"best economic choice",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"feels right",4,"Perception and Personal Judgment","#33A02C"
"fix and forget",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"long lasting",4,"Protection and Preparedness","#FB9A99"
"amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on 2 events",3,"Data Interpretation and Understanding","#B2DF8A"
"based on 4 events",3,"Data Interpretation and Understanding","#B2DF8A"
"based on the graph",3,"Data Interpretation and Understanding","#B2DF8A"
"best level of protection",3,"Protection and Preparedness","#FB9A99"
"freeboard added",3,"Data Interpretation and Understanding","#B2DF8A"
"increase in rainfall",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"low maintenance",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"protection of home and family",3,"Protection and Preparedness","#FB9A99"
"safe than sorry",3,"Protection and Preparedness","#FB9A99"
"avoid damage and its costs",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"erosion control",2,"Perception and Personal Judgment","#33A02C"
"high amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"likely to move",2,"Perception and Personal Judgment","#33A02C"
"no comment",2,"No Reason","#E31A1C"
"weather is unpredictable",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"advantages it offers",1,"Perception and Personal Judgment","#33A02C"
"based on prior experience",1,"Perception and Personal Judgment","#33A02C"
"climate change increases risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase in risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"not in a flood zone",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"too expensive",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"watch and decide later",1,"Protection and Preparedness","#FB9A99"
"wrong answer",1,"Data Interpretation and Understanding","#B2DF8A"
