"word","count","topic","color"
"I don't know",27,"No Reason","#E31A1C"
"cost effective",24,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in rainfall",20,"Rainfall and Flood Risk Assessment","#1F78B4"
"logical choice",19,"Perception and Personal Judgment","#33A02C"
"feels right",17,"Perception and Personal Judgment","#33A02C"
"saves money",17,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"to be prepared and protect",13,"Protection and Preparedness","#FB9A99"
"no comment",11,"No Reason","#E31A1C"
"cost benefit analysis",10,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"long lasting",10,"Protection and Preparedness","#FB9A99"
"?",9,"No Reason","#E31A1C"
"I don't understand",8,"Data Interpretation and Understanding","#B2DF8A"
"based on the graph",7,"Data Interpretation and Understanding","#B2DF8A"
"confusion about personal home",7,"Data Interpretation and Understanding","#B2DF8A"
"fix and forget",7,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"safe than sorry",6,"Protection and Preparedness","#FB9A99"
"based on average",5,"Data Interpretation and Understanding","#B2DF8A"
"best economic choice",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"low maintenance",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"advantages it offers",4,"Perception and Personal Judgment","#33A02C"
"freeboard added",4,"Data Interpretation and Understanding","#B2DF8A"
"avoid damage and its costs",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on 4 events",3,"Data Interpretation and Understanding","#B2DF8A"
"based on emissions scenario(s)/ projections",3,"Data Interpretation and Understanding","#B2DF8A"
"best level of protection",3,"Protection and Preparedness","#FB9A99"
"erosion control",3,"Perception and Personal Judgment","#33A02C"
"risk of flood(s)",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"weather is unpredictable",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on 2 events",2,"Data Interpretation and Understanding","#B2DF8A"
"environmental impact",2,"Perception and Personal Judgment","#33A02C"
"it is only rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"more information wanted",2,"Data Interpretation and Understanding","#B2DF8A"
"not needed",2,"Protection and Preparedness","#FB9A99"
"protection of home and family",2,"Protection and Preparedness","#FB9A99"
"acceptable damage costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on prior experience",1,"Perception and Personal Judgment","#33A02C"
"change in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"high amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase property value",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"not in a flood zone",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"the description",1,"Data Interpretation and Understanding","#B2DF8A"
"too expensive",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"watch and decide later",1,"Protection and Preparedness","#FB9A99"
