"word","count","topic","color"
"to be prepared and protect",8,"Protection and Preparedness","#FB9A99"
"increase in rainfall",7,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't know",5,"No Reason","#E31A1C"
"feels right",4,"Perception and Personal Judgment","#33A02C"
"cost benefit analysis",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"cost effective",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"fix and forget",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on 2 events",2,"Data Interpretation and Understanding","#B2DF8A"
"based on 4 events",2,"Data Interpretation and Understanding","#B2DF8A"
"based on emissions scenario(s)/ projections",2,"Data Interpretation and Understanding","#B2DF8A"
"best economic choice",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",2,"Perception and Personal Judgment","#33A02C"
"long lasting",2,"Protection and Preparedness","#FB9A99"
"safe than sorry",2,"Protection and Preparedness","#FB9A99"
"?",1,"No Reason","#E31A1C"
"based on the graph",1,"Data Interpretation and Understanding","#B2DF8A"
"change in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"confusion about personal home",1,"Data Interpretation and Understanding","#B2DF8A"
"decrease in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"low maintenance",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"low risk of flooding",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"more information wanted",1,"Data Interpretation and Understanding","#B2DF8A"
"saves money",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
