"word","count","topic","color"
"cost effective",33,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",25,"Perception and Personal Judgment","#33A02C"
"to be prepared and protect",14,"Protection and Preparedness","#FB9A99"
"cost benefit analysis",13,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"best economic choice",12,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in rainfall",12,"Rainfall and Flood Risk Assessment","#1F78B4"
"long lasting",12,"Protection and Preparedness","#FB9A99"
"based on 2 events",9,"Data Interpretation and Understanding","#B2DF8A"
"feels right",9,"Perception and Personal Judgment","#33A02C"
"based on the graph",8,"Data Interpretation and Understanding","#B2DF8A"
"saves money",8,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"advantages it offers",7,"Perception and Personal Judgment","#33A02C"
"based on 4 events",7,"Data Interpretation and Understanding","#B2DF8A"
"fix and forget",7,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",6,"No Reason","#E31A1C"
"freeboard added",6,"Data Interpretation and Understanding","#B2DF8A"
"I don't know",6,"No Reason","#E31A1C"
"safe than sorry",6,"Protection and Preparedness","#FB9A99"
"based on average",5,"Data Interpretation and Understanding","#B2DF8A"
"low maintenance",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"no comment",4,"No Reason","#E31A1C"
"protection of home and family",4,"Protection and Preparedness","#FB9A99"
"amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"avoid damage and its costs",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on prior experience",3,"Perception and Personal Judgment","#33A02C"
"erosion control",3,"Perception and Personal Judgment","#33A02C"
"increase property value",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"risk of flood(s)",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"acceptable damage costs",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on emissions scenario(s)/ projections",2,"Data Interpretation and Understanding","#B2DF8A"
"best level of protection",2,"Protection and Preparedness","#FB9A99"
"confusion about personal home",2,"Data Interpretation and Understanding","#B2DF8A"
"I don't believe it",2,"Perception and Personal Judgment","#33A02C"
"more information wanted",2,"Data Interpretation and Understanding","#B2DF8A"
"not needed",2,"Protection and Preparedness","#FB9A99"
"watch and decide later",2,"Protection and Preparedness","#FB9A99"
"weather is unpredictable",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"environmental impact",1,"Perception and Personal Judgment","#33A02C"
"increase in risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"not in a flood zone",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"not worth the cost",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
