"word","count","topic","color"
"cost effective",18,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",18,"Perception and Personal Judgment","#33A02C"
"to be prepared and protect",14,"Protection and Preparedness","#FB9A99"
"I don't know",13,"No Reason","#E31A1C"
"feels right",12,"Perception and Personal Judgment","#33A02C"
"long lasting",9,"Protection and Preparedness","#FB9A99"
"?",8,"No Reason","#E31A1C"
"protection of home and family",8,"Protection and Preparedness","#FB9A99"
"amount of rain",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on the graph",6,"Data Interpretation and Understanding","#B2DF8A"
"cost benefit analysis",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in rainfall",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't understand",5,"Data Interpretation and Understanding","#B2DF8A"
"no comment",5,"No Reason","#E31A1C"
"avoid damage and its costs",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on emissions scenario(s)/ projections",4,"Data Interpretation and Understanding","#B2DF8A"
"freeboard added",4,"Data Interpretation and Understanding","#B2DF8A"
"best economic choice",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"best level of protection",3,"Protection and Preparedness","#FB9A99"
"erosion control",3,"Perception and Personal Judgment","#33A02C"
"risk of flood(s)",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"saves money",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on average",2,"Data Interpretation and Understanding","#B2DF8A"
"low amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"safe than sorry",2,"Protection and Preparedness","#FB9A99"
"the description",2,"Data Interpretation and Understanding","#B2DF8A"
"watch and decide later",2,"Protection and Preparedness","#FB9A99"
"weather is unpredictable",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"advantages it offers",1,"Perception and Personal Judgment","#33A02C"
"based on 2 events",1,"Data Interpretation and Understanding","#B2DF8A"
"based on prior experience",1,"Perception and Personal Judgment","#33A02C"
"confusion about personal home",1,"Data Interpretation and Understanding","#B2DF8A"
"environmental impact",1,"Perception and Personal Judgment","#33A02C"
"fix and forget",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"history of flood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"it is only rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"likely to move",1,"Perception and Personal Judgment","#33A02C"
"low maintenance",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"more information wanted",1,"Data Interpretation and Understanding","#B2DF8A"
"not needed",1,"Protection and Preparedness","#FB9A99"
"too expensive",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
