"word","count","topic","color"
"cost effective",40,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",38,"Perception and Personal Judgment","#33A02C"
"feels right",32,"Perception and Personal Judgment","#33A02C"
"to be prepared and protect",24,"Protection and Preparedness","#FB9A99"
"long lasting",19,"Protection and Preparedness","#FB9A99"
"cost benefit analysis",18,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't know",18,"No Reason","#E31A1C"
"based on the graph",16,"Data Interpretation and Understanding","#B2DF8A"
"best economic choice",16,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"fix and forget",14,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in rainfall",14,"Rainfall and Flood Risk Assessment","#1F78B4"
"?",13,"No Reason","#E31A1C"
"saves money",12,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on average",9,"Data Interpretation and Understanding","#B2DF8A"
"best level of protection",9,"Protection and Preparedness","#FB9A99"
"erosion control",9,"Perception and Personal Judgment","#33A02C"
"freeboard added",9,"Data Interpretation and Understanding","#B2DF8A"
"no comment",9,"No Reason","#E31A1C"
"based on emissions scenario(s)/ projections",7,"Data Interpretation and Understanding","#B2DF8A"
"low maintenance",7,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"amount of rain",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"avoid damage and its costs",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"confusion about personal home",5,"Data Interpretation and Understanding","#B2DF8A"
"not needed",5,"Protection and Preparedness","#FB9A99"
"safe than sorry",5,"Protection and Preparedness","#FB9A99"
"advantages it offers",4,"Perception and Personal Judgment","#33A02C"
"based on 2 events",4,"Data Interpretation and Understanding","#B2DF8A"
"based on 4 events",4,"Data Interpretation and Understanding","#B2DF8A"
"I don't understand",4,"Data Interpretation and Understanding","#B2DF8A"
"protection of home and family",4,"Protection and Preparedness","#FB9A99"
"weather is unpredictable",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"change in rainfall",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"not in a flood zone",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"risk of flood(s)",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"acceptable damage costs",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on prior experience",2,"Perception and Personal Judgment","#33A02C"
"I don't believe it",2,"Perception and Personal Judgment","#33A02C"
"increase property value",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"it is only rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"the description",2,"Data Interpretation and Understanding","#B2DF8A"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"high amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"history of flood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase in risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"insurance costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"little to no change in risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"more information wanted",1,"Data Interpretation and Understanding","#B2DF8A"
"not worth the cost",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"other actions can be done",1,"Protection and Preparedness","#FB9A99"
"too expensive",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"watch and decide later",1,"Protection and Preparedness","#FB9A99"
