"word","count","topic","color"
"cost effective",70,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",58,"Perception and Personal Judgment","#33A02C"
"I don't know",38,"No Reason","#E31A1C"
"long lasting",37,"Protection and Preparedness","#FB9A99"
"increase in rainfall",29,"Rainfall and Flood Risk Assessment","#1F78B4"
"to be prepared and protect",28,"Protection and Preparedness","#FB9A99"
"saves money",26,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"feels right",22,"Perception and Personal Judgment","#33A02C"
"fix and forget",21,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"cost benefit analysis",20,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on the graph",16,"Data Interpretation and Understanding","#B2DF8A"
"?",13,"No Reason","#E31A1C"
"based on average",13,"Data Interpretation and Understanding","#B2DF8A"
"best economic choice",13,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"no comment",13,"No Reason","#E31A1C"
"low maintenance",12,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"amount of rain",11,"Rainfall and Flood Risk Assessment","#1F78B4"
"avoid damage and its costs",10,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"best level of protection",10,"Protection and Preparedness","#FB9A99"
"based on 2 events",8,"Data Interpretation and Understanding","#B2DF8A"
"I don't understand",8,"Data Interpretation and Understanding","#B2DF8A"
"safe than sorry",8,"Protection and Preparedness","#FB9A99"
"confusion about personal home",6,"Data Interpretation and Understanding","#B2DF8A"
"protection of home and family",6,"Protection and Preparedness","#FB9A99"
"based on emissions scenario(s)/ projections",5,"Data Interpretation and Understanding","#B2DF8A"
"erosion control",5,"Perception and Personal Judgment","#33A02C"
"more information wanted",5,"Data Interpretation and Understanding","#B2DF8A"
"risk of flood(s)",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"advantages it offers",4,"Perception and Personal Judgment","#33A02C"
"based on prior experience",4,"Perception and Personal Judgment","#33A02C"
"high amount of rain",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on 4 events",3,"Data Interpretation and Understanding","#B2DF8A"
"change in rainfall",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"environmental impact",3,"Perception and Personal Judgment","#33A02C"
"freeboard added",3,"Data Interpretation and Understanding","#B2DF8A"
"not needed",3,"Protection and Preparedness","#FB9A99"
"too expensive",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"weather is unpredictable",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"history of flood",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"it is only rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"likely to move",2,"Perception and Personal Judgment","#33A02C"
"little to no change in risk",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"watch and decide later",2,"Protection and Preparedness","#FB9A99"
"acceptable damage costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"decrease in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't believe it",1,"Perception and Personal Judgment","#33A02C"
"increase in risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase property value",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"insurance costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"low risk of flooding",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"other actions can be done",1,"Protection and Preparedness","#FB9A99"
"the description",1,"Data Interpretation and Understanding","#B2DF8A"
