"word","count","topic","color"
"cost effective",17,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",11,"Perception and Personal Judgment","#33A02C"
"cost benefit analysis",8,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"feels right",8,"Perception and Personal Judgment","#33A02C"
"long lasting",8,"Protection and Preparedness","#FB9A99"
"to be prepared and protect",7,"Protection and Preparedness","#FB9A99"
"increase in rainfall",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on the graph",5,"Data Interpretation and Understanding","#B2DF8A"
"best economic choice",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"safe than sorry",5,"Protection and Preparedness","#FB9A99"
"based on average",4,"Data Interpretation and Understanding","#B2DF8A"
"fix and forget",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"protection of home and family",4,"Protection and Preparedness","#FB9A99"
"?",3,"No Reason","#E31A1C"
"erosion control",3,"Perception and Personal Judgment","#33A02C"
"freeboard added",3,"Data Interpretation and Understanding","#B2DF8A"
"saves money",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"advantages it offers",2,"Perception and Personal Judgment","#33A02C"
"amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on 4 events",2,"Data Interpretation and Understanding","#B2DF8A"
"good investment",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"high amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't know",2,"No Reason","#E31A1C"
"no comment",2,"No Reason","#E31A1C"
"based on 2 events",1,"Data Interpretation and Understanding","#B2DF8A"
"based on emissions scenario(s)/ projections",1,"Data Interpretation and Understanding","#B2DF8A"
"best level of protection",1,"Protection and Preparedness","#FB9A99"
"change in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"climate change increases risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"confusion about personal home",1,"Data Interpretation and Understanding","#B2DF8A"
"I don't understand",1,"Data Interpretation and Understanding","#B2DF8A"
"likely to move",1,"Perception and Personal Judgment","#33A02C"
"low amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"low maintenance",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"low risk of flooding",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"more information wanted",1,"Data Interpretation and Understanding","#B2DF8A"
"watch and decide later",1,"Protection and Preparedness","#FB9A99"
"weather is unpredictable",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"wrong answer",1,"Data Interpretation and Understanding","#B2DF8A"
