"word","count","topic","color"
"cost effective",29,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",27,"Perception and Personal Judgment","#33A02C"
"to be prepared and protect",21,"Protection and Preparedness","#FB9A99"
"I don't know",20,"No Reason","#E31A1C"
"feels right",19,"Perception and Personal Judgment","#33A02C"
"increase in rainfall",17,"Rainfall and Flood Risk Assessment","#1F78B4"
"saves money",16,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"long lasting",15,"Protection and Preparedness","#FB9A99"
"?",12,"No Reason","#E31A1C"
"no comment",11,"No Reason","#E31A1C"
"fix and forget",8,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"amount of rain",7,"Rainfall and Flood Risk Assessment","#1F78B4"
"erosion control",7,"Perception and Personal Judgment","#33A02C"
"based on average",6,"Data Interpretation and Understanding","#B2DF8A"
"based on emissions scenario(s)/ projections",6,"Data Interpretation and Understanding","#B2DF8A"
"based on the graph",6,"Data Interpretation and Understanding","#B2DF8A"
"cost benefit analysis",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't understand",6,"Data Interpretation and Understanding","#B2DF8A"
"avoid damage and its costs",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"best economic choice",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"best level of protection",4,"Protection and Preparedness","#FB9A99"
"low maintenance",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"the description",4,"Data Interpretation and Understanding","#B2DF8A"
"weather is unpredictable",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",3,"Protection and Preparedness","#FB9A99"
"based on 2 events",2,"Data Interpretation and Understanding","#B2DF8A"
"change in rainfall",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"confusion about personal home",2,"Data Interpretation and Understanding","#B2DF8A"
"freeboard added",2,"Data Interpretation and Understanding","#B2DF8A"
"history of flood",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"it is only rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"not in a flood zone",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"protection of home and family",2,"Protection and Preparedness","#FB9A99"
"risk of flood(s)",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"safe than sorry",2,"Protection and Preparedness","#FB9A99"
"watch and decide later",2,"Protection and Preparedness","#FB9A99"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"environmental impact",1,"Perception and Personal Judgment","#33A02C"
"increase in risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
