"word","count","topic","color"
"cost effective",67,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",67,"Perception and Personal Judgment","#33A02C"
"to be prepared and protect",49,"Protection and Preparedness","#FB9A99"
"increase in rainfall",43,"Rainfall and Flood Risk Assessment","#1F78B4"
"long lasting",35,"Protection and Preparedness","#FB9A99"
"feels right",33,"Perception and Personal Judgment","#33A02C"
"cost benefit analysis",30,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"saves money",29,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"best economic choice",22,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"fix and forget",21,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",20,"No Reason","#E31A1C"
"based on the graph",19,"Data Interpretation and Understanding","#B2DF8A"
"amount of rain",16,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't know",16,"No Reason","#E31A1C"
"safe than sorry",16,"Protection and Preparedness","#FB9A99"
"based on 2 events",14,"Data Interpretation and Understanding","#B2DF8A"
"protection of home and family",14,"Protection and Preparedness","#FB9A99"
"based on average",13,"Data Interpretation and Understanding","#B2DF8A"
"erosion control",12,"Perception and Personal Judgment","#33A02C"
"no comment",12,"No Reason","#E31A1C"
"best level of protection",11,"Protection and Preparedness","#FB9A99"
"low maintenance",11,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on 4 events",10,"Data Interpretation and Understanding","#B2DF8A"
"freeboard added",10,"Data Interpretation and Understanding","#B2DF8A"
"avoid damage and its costs",8,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't understand",7,"Data Interpretation and Understanding","#B2DF8A"
"based on emissions scenario(s)/ projections",6,"Data Interpretation and Understanding","#B2DF8A"
"risk of flood(s)",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"advantages it offers",5,"Perception and Personal Judgment","#33A02C"
"confusion about personal home",5,"Data Interpretation and Understanding","#B2DF8A"
"low amount of rain",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"the description",5,"Data Interpretation and Understanding","#B2DF8A"
"watch and decide later",5,"Protection and Preparedness","#FB9A99"
"weather is unpredictable",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"environmental impact",4,"Perception and Personal Judgment","#33A02C"
"increase property value",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"more information wanted",4,"Data Interpretation and Understanding","#B2DF8A"
"not needed",4,"Protection and Preparedness","#FB9A99"
"based on prior experience",3,"Perception and Personal Judgment","#33A02C"
"high amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase in risk of flood(s)",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"too expensive",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"change in rainfall",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"good investment",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"likely to move",2,"Perception and Personal Judgment","#33A02C"
"acceptable damage costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"climate change increases risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"decrease in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"history of flood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"not in a flood zone",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"other actions can be done",1,"Protection and Preparedness","#FB9A99"
"wrong answer",1,"Data Interpretation and Understanding","#B2DF8A"
