"word","count","topic","color"
"logical choice",3,"Perception and Personal Judgment","#33A02C"
"no comment",3,"No Reason","#E31A1C"
"best economic choice",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in rainfall",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on 4 events",1,"Data Interpretation and Understanding","#B2DF8A"
"best level of protection",1,"Protection and Preparedness","#FB9A99"
"confusion about personal home",1,"Data Interpretation and Understanding","#B2DF8A"
"environmental impact",1,"Perception and Personal Judgment","#33A02C"
"feels right",1,"Perception and Personal Judgment","#33A02C"
"I don't know",1,"No Reason","#E31A1C"
"I don't understand",1,"Data Interpretation and Understanding","#B2DF8A"
"low maintenance",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
