"word","count","topic","color"
"cost effective",31,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",20,"Perception and Personal Judgment","#33A02C"
"increase in rainfall",18,"Rainfall and Flood Risk Assessment","#1F78B4"
"fix and forget",15,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"saves money",15,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"to be prepared and protect",15,"Protection and Preparedness","#FB9A99"
"cost benefit analysis",14,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"long lasting",9,"Protection and Preparedness","#FB9A99"
"best economic choice",8,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"feels right",8,"Perception and Personal Judgment","#33A02C"
"safe than sorry",8,"Protection and Preparedness","#FB9A99"
"based on 2 events",7,"Data Interpretation and Understanding","#B2DF8A"
"protection of home and family",7,"Protection and Preparedness","#FB9A99"
"based on average",6,"Data Interpretation and Understanding","#B2DF8A"
"I don't know",6,"No Reason","#E31A1C"
"no comment",6,"No Reason","#E31A1C"
"based on the graph",5,"Data Interpretation and Understanding","#B2DF8A"
"avoid damage and its costs",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on 4 events",4,"Data Interpretation and Understanding","#B2DF8A"
"freeboard added",4,"Data Interpretation and Understanding","#B2DF8A"
"low maintenance",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",3,"No Reason","#E31A1C"
"based on emissions scenario(s)/ projections",3,"Data Interpretation and Understanding","#B2DF8A"
"environmental impact",3,"Perception and Personal Judgment","#33A02C"
"I don't understand",3,"Data Interpretation and Understanding","#B2DF8A"
"more information wanted",3,"Data Interpretation and Understanding","#B2DF8A"
"weather is unpredictable",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"best level of protection",2,"Protection and Preparedness","#FB9A99"
"confusion about personal home",2,"Data Interpretation and Understanding","#B2DF8A"
"low amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"too expensive",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"advantages it offers",1,"Perception and Personal Judgment","#33A02C"
"climate change increases risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"decrease in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"erosion control",1,"Perception and Personal Judgment","#33A02C"
"good investment",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"high amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase property value",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"likely to move",1,"Perception and Personal Judgment","#33A02C"
"low risk of flooding",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",1,"Protection and Preparedness","#FB9A99"
"risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"wrong answer",1,"Data Interpretation and Understanding","#B2DF8A"
