"word","count","topic","color"
"cost effective",21,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",10,"Perception and Personal Judgment","#33A02C"
"cost benefit analysis",8,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"feels right",8,"Perception and Personal Judgment","#33A02C"
"fix and forget",7,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't know",7,"No Reason","#E31A1C"
"best economic choice",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"long lasting",5,"Protection and Preparedness","#FB9A99"
"saves money",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on average",4,"Data Interpretation and Understanding","#B2DF8A"
"erosion control",4,"Perception and Personal Judgment","#33A02C"
"freeboard added",4,"Data Interpretation and Understanding","#B2DF8A"
"low maintenance",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"weather is unpredictable",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"advantages it offers",3,"Perception and Personal Judgment","#33A02C"
"confusion about personal home",3,"Data Interpretation and Understanding","#B2DF8A"
"low risk of flooding",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"acceptable damage costs",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"avoid damage and its costs",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on the graph",2,"Data Interpretation and Understanding","#B2DF8A"
"best level of protection",2,"Protection and Preparedness","#FB9A99"
"I don't believe it",2,"Perception and Personal Judgment","#33A02C"
"it is only rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",2,"Protection and Preparedness","#FB9A99"
"protection of home and family",2,"Protection and Preparedness","#FB9A99"
"too expensive",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",1,"No Reason","#E31A1C"
"based on 4 events",1,"Data Interpretation and Understanding","#B2DF8A"
"based on emissions scenario(s)/ projections",1,"Data Interpretation and Understanding","#B2DF8A"
"based on prior experience",1,"Perception and Personal Judgment","#33A02C"
"I don't understand",1,"Data Interpretation and Understanding","#B2DF8A"
"increase in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase property value",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"insurance costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"little to no change in risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"no comment",1,"No Reason","#E31A1C"
"not worth the cost",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"safe than sorry",1,"Protection and Preparedness","#FB9A99"
"to be prepared and protect",1,"Protection and Preparedness","#FB9A99"
"watch and decide later",1,"Protection and Preparedness","#FB9A99"
