"word","count","topic","color"
"logical choice",54,"Perception and Personal Judgment","#33A02C"
"cost effective",47,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"to be prepared and protect",36,"Protection and Preparedness","#FB9A99"
"feels right",35,"Perception and Personal Judgment","#33A02C"
"cost benefit analysis",29,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in rainfall",25,"Rainfall and Flood Risk Assessment","#1F78B4"
"best economic choice",24,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",21,"No Reason","#E31A1C"
"saves money",21,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"fix and forget",20,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't know",17,"No Reason","#E31A1C"
"long lasting",17,"Protection and Preparedness","#FB9A99"
"based on the graph",15,"Data Interpretation and Understanding","#B2DF8A"
"freeboard added",14,"Data Interpretation and Understanding","#B2DF8A"
"based on 4 events",12,"Data Interpretation and Understanding","#B2DF8A"
"erosion control",12,"Perception and Personal Judgment","#33A02C"
"protection of home and family",12,"Protection and Preparedness","#FB9A99"
"amount of rain",11,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on average",11,"Data Interpretation and Understanding","#B2DF8A"
"safe than sorry",11,"Protection and Preparedness","#FB9A99"
"no comment",10,"No Reason","#E31A1C"
"based on 2 events",9,"Data Interpretation and Understanding","#B2DF8A"
"based on emissions scenario(s)/ projections",8,"Data Interpretation and Understanding","#B2DF8A"
"best level of protection",8,"Protection and Preparedness","#FB9A99"
"low maintenance",8,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"advantages it offers",7,"Perception and Personal Judgment","#33A02C"
"confusion about personal home",7,"Data Interpretation and Understanding","#B2DF8A"
"avoid damage and its costs",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't understand",6,"Data Interpretation and Understanding","#B2DF8A"
"low amount of rain",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"watch and decide later",6,"Protection and Preparedness","#FB9A99"
"weather is unpredictable",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",5,"Protection and Preparedness","#FB9A99"
"the description",5,"Data Interpretation and Understanding","#B2DF8A"
"increase property value",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"low risk of flooding",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"environmental impact",3,"Perception and Personal Judgment","#33A02C"
"it is only rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"not in a flood zone",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"risk of flood(s)",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"acceptable damage costs",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on prior experience",2,"Perception and Personal Judgment","#33A02C"
"change in rainfall",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"good investment",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in risk of flood(s)",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"more information wanted",2,"Data Interpretation and Understanding","#B2DF8A"
"too expensive",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"climate change increases risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"high amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't believe it",1,"Perception and Personal Judgment","#33A02C"
"likely to move",1,"Perception and Personal Judgment","#33A02C"
"little to no change in risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"not worth the cost",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"wrong answer",1,"Data Interpretation and Understanding","#B2DF8A"
