"word","count","topic","color"
"cost effective",26,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",24,"Perception and Personal Judgment","#33A02C"
"to be prepared and protect",15,"Protection and Preparedness","#FB9A99"
"cost benefit analysis",13,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"saves money",13,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"feels right",11,"Perception and Personal Judgment","#33A02C"
"increase in rainfall",11,"Rainfall and Flood Risk Assessment","#1F78B4"
"best economic choice",8,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't know",8,"No Reason","#E31A1C"
"amount of rain",7,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on the graph",7,"Data Interpretation and Understanding","#B2DF8A"
"best level of protection",7,"Protection and Preparedness","#FB9A99"
"fix and forget",7,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"long lasting",7,"Protection and Preparedness","#FB9A99"
"no comment",7,"No Reason","#E31A1C"
"freeboard added",5,"Data Interpretation and Understanding","#B2DF8A"
"low maintenance",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on 2 events",4,"Data Interpretation and Understanding","#B2DF8A"
"based on average",4,"Data Interpretation and Understanding","#B2DF8A"
"I don't understand",4,"Data Interpretation and Understanding","#B2DF8A"
"low amount of rain",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"protection of home and family",4,"Protection and Preparedness","#FB9A99"
"based on 4 events",3,"Data Interpretation and Understanding","#B2DF8A"
"not needed",3,"Protection and Preparedness","#FB9A99"
"safe than sorry",3,"Protection and Preparedness","#FB9A99"
"too expensive",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"weather is unpredictable",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"advantages it offers",2,"Perception and Personal Judgment","#33A02C"
"avoid damage and its costs",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on prior experience",2,"Perception and Personal Judgment","#33A02C"
"confusion about personal home",2,"Data Interpretation and Understanding","#B2DF8A"
"environmental impact",2,"Perception and Personal Judgment","#33A02C"
"erosion control",2,"Perception and Personal Judgment","#33A02C"
"increase in risk of flood(s)",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"it is only rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"risk of flood(s)",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"?",1,"No Reason","#E31A1C"
"acceptable damage costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on emissions scenario(s)/ projections",1,"Data Interpretation and Understanding","#B2DF8A"
"change in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"good investment",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"high amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"history of flood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase property value",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"little to no change in risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"more information wanted",1,"Data Interpretation and Understanding","#B2DF8A"
"not in a flood zone",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"the description",1,"Data Interpretation and Understanding","#B2DF8A"
