"word","count","topic","color"
"logical choice",54,"Perception and Personal Judgment","#33A02C"
"cost effective",46,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't know",32,"No Reason","#E31A1C"
"long lasting",27,"Protection and Preparedness","#FB9A99"
"to be prepared and protect",25,"Protection and Preparedness","#FB9A99"
"increase in rainfall",23,"Rainfall and Flood Risk Assessment","#1F78B4"
"saves money",20,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",19,"No Reason","#E31A1C"
"feels right",18,"Perception and Personal Judgment","#33A02C"
"cost benefit analysis",17,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"amount of rain",14,"Rainfall and Flood Risk Assessment","#1F78B4"
"fix and forget",14,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"best economic choice",13,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on the graph",10,"Data Interpretation and Understanding","#B2DF8A"
"based on average",9,"Data Interpretation and Understanding","#B2DF8A"
"low maintenance",9,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"no comment",9,"No Reason","#E31A1C"
"based on 4 events",7,"Data Interpretation and Understanding","#B2DF8A"
"best level of protection",7,"Protection and Preparedness","#FB9A99"
"erosion control",7,"Perception and Personal Judgment","#33A02C"
"I don't understand",7,"Data Interpretation and Understanding","#B2DF8A"
"protection of home and family",7,"Protection and Preparedness","#FB9A99"
"safe than sorry",7,"Protection and Preparedness","#FB9A99"
"watch and decide later",7,"Protection and Preparedness","#FB9A99"
"advantages it offers",6,"Perception and Personal Judgment","#33A02C"
"avoid damage and its costs",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on 2 events",6,"Data Interpretation and Understanding","#B2DF8A"
"confusion about personal home",6,"Data Interpretation and Understanding","#B2DF8A"
"based on prior experience",4,"Perception and Personal Judgment","#33A02C"
"freeboard added",4,"Data Interpretation and Understanding","#B2DF8A"
"risk of flood(s)",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"the description",4,"Data Interpretation and Understanding","#B2DF8A"
"based on emissions scenario(s)/ projections",3,"Data Interpretation and Understanding","#B2DF8A"
"environmental impact",3,"Perception and Personal Judgment","#33A02C"
"high amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"it is only rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"more information wanted",3,"Data Interpretation and Understanding","#B2DF8A"
"not needed",3,"Protection and Preparedness","#FB9A99"
"change in rainfall",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase in risk of flood(s)",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase property value",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"likely to move",2,"Perception and Personal Judgment","#33A02C"
"little to no change in risk",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"too expensive",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"weather is unpredictable",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"acceptable damage costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"good investment",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"history of flood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
