"word","count","topic","color"
"cost effective",25,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",20,"Perception and Personal Judgment","#33A02C"
"cost benefit analysis",12,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"best economic choice",11,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't know",11,"No Reason","#E31A1C"
"increase in rainfall",11,"Rainfall and Flood Risk Assessment","#1F78B4"
"feels right",10,"Perception and Personal Judgment","#33A02C"
"long lasting",10,"Protection and Preparedness","#FB9A99"
"?",9,"No Reason","#E31A1C"
"saves money",9,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"to be prepared and protect",7,"Protection and Preparedness","#FB9A99"
"based on 4 events",6,"Data Interpretation and Understanding","#B2DF8A"
"based on the graph",6,"Data Interpretation and Understanding","#B2DF8A"
"fix and forget",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"low maintenance",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"protection of home and family",6,"Protection and Preparedness","#FB9A99"
"safe than sorry",5,"Protection and Preparedness","#FB9A99"
"based on average",4,"Data Interpretation and Understanding","#B2DF8A"
"based on 2 events",3,"Data Interpretation and Understanding","#B2DF8A"
"based on prior experience",3,"Perception and Personal Judgment","#33A02C"
"best level of protection",3,"Protection and Preparedness","#FB9A99"
"confusion about personal home",3,"Data Interpretation and Understanding","#B2DF8A"
"I don't understand",3,"Data Interpretation and Understanding","#B2DF8A"
"advantages it offers",2,"Perception and Personal Judgment","#33A02C"
"avoid damage and its costs",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on the hindcast",2,"Data Interpretation and Understanding","#B2DF8A"
"freeboard added",2,"Data Interpretation and Understanding","#B2DF8A"
"low amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"no comment",2,"No Reason","#E31A1C"
"risk of flood(s)",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"watch and decide later",2,"Protection and Preparedness","#FB9A99"
"weather is unpredictable",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on emissions scenario(s)/ projections",1,"Data Interpretation and Understanding","#B2DF8A"
"erosion control",1,"Perception and Personal Judgment","#33A02C"
"good investment",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"history of flood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase in risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"it is only rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"likely to move",1,"Perception and Personal Judgment","#33A02C"
"little to no change in risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"more information wanted",1,"Data Interpretation and Understanding","#B2DF8A"
"not needed",1,"Protection and Preparedness","#FB9A99"
"not worth the cost",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"the description",1,"Data Interpretation and Understanding","#B2DF8A"
