"word","count","topic","color"
"cost effective",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"saves money",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",4,"Perception and Personal Judgment","#33A02C"
"best level of protection",3,"Protection and Preparedness","#FB9A99"
"no comment",3,"No Reason","#E31A1C"
"avoid damage and its costs",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"fix and forget",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"freeboard added",2,"Data Interpretation and Understanding","#B2DF8A"
"I don't know",2,"No Reason","#E31A1C"
"increase in rainfall",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",2,"Protection and Preparedness","#FB9A99"
"to be prepared and protect",2,"Protection and Preparedness","#FB9A99"
"?",1,"No Reason","#E31A1C"
"advantages it offers",1,"Perception and Personal Judgment","#33A02C"
"amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on 4 events",1,"Data Interpretation and Understanding","#B2DF8A"
"based on emissions scenario(s)/ projections",1,"Data Interpretation and Understanding","#B2DF8A"
"based on prior experience",1,"Perception and Personal Judgment","#33A02C"
"best economic choice",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"change in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"confusion about personal home",1,"Data Interpretation and Understanding","#B2DF8A"
"cost benefit analysis",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"erosion control",1,"Perception and Personal Judgment","#33A02C"
"feels right",1,"Perception and Personal Judgment","#33A02C"
"I don't understand",1,"Data Interpretation and Understanding","#B2DF8A"
"it is only rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"long lasting",1,"Protection and Preparedness","#FB9A99"
"low maintenance",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"safe than sorry",1,"Protection and Preparedness","#FB9A99"
"watch and decide later",1,"Protection and Preparedness","#FB9A99"
