"word","count","topic","color"
"cost effective",39,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"long lasting",23,"Protection and Preparedness","#FB9A99"
"fix and forget",18,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"cost benefit analysis",17,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",17,"Perception and Personal Judgment","#33A02C"
"feels right",13,"Perception and Personal Judgment","#33A02C"
"best economic choice",11,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't know",10,"No Reason","#E31A1C"
"saves money",10,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",8,"No Reason","#E31A1C"
"based on the graph",8,"Data Interpretation and Understanding","#B2DF8A"
"increase in rainfall",8,"Rainfall and Flood Risk Assessment","#1F78B4"
"low maintenance",7,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"erosion control",5,"Perception and Personal Judgment","#33A02C"
"low risk of flooding",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"to be prepared and protect",5,"Protection and Preparedness","#FB9A99"
"amount of rain",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"confusion about personal home",4,"Data Interpretation and Understanding","#B2DF8A"
"safe than sorry",4,"Protection and Preparedness","#FB9A99"
"based on 4 events",3,"Data Interpretation and Understanding","#B2DF8A"
"based on average",3,"Data Interpretation and Understanding","#B2DF8A"
"best level of protection",3,"Protection and Preparedness","#FB9A99"
"I don't understand",3,"Data Interpretation and Understanding","#B2DF8A"
"weather is unpredictable",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"acceptable damage costs",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"advantages it offers",2,"Perception and Personal Judgment","#33A02C"
"based on 2 events",2,"Data Interpretation and Understanding","#B2DF8A"
"freeboard added",2,"Data Interpretation and Understanding","#B2DF8A"
"no comment",2,"No Reason","#E31A1C"
"not needed",2,"Protection and Preparedness","#FB9A99"
"avoid damage and its costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on prior experience",1,"Perception and Personal Judgment","#33A02C"
"change in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"environmental impact",1,"Perception and Personal Judgment","#33A02C"
"increase property value",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"insurance costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"it is only rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"not in a flood zone",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"not worth the cost",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"protection of home and family",1,"Protection and Preparedness","#FB9A99"
"risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"the description",1,"Data Interpretation and Understanding","#B2DF8A"
"too expensive",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"watch and decide later",1,"Protection and Preparedness","#FB9A99"
"wrong answer",1,"Data Interpretation and Understanding","#B2DF8A"
