"word","count","topic","color"
"logical choice",30,"Perception and Personal Judgment","#33A02C"
"cost effective",25,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"fix and forget",15,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in rainfall",14,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't know",13,"No Reason","#E31A1C"
"long lasting",13,"Protection and Preparedness","#FB9A99"
"saves money",13,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"best economic choice",12,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"cost benefit analysis",12,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"to be prepared and protect",11,"Protection and Preparedness","#FB9A99"
"feels right",10,"Perception and Personal Judgment","#33A02C"
"?",9,"No Reason","#E31A1C"
"based on the graph",7,"Data Interpretation and Understanding","#B2DF8A"
"amount of rain",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on average",6,"Data Interpretation and Understanding","#B2DF8A"
"based on 4 events",5,"Data Interpretation and Understanding","#B2DF8A"
"confusion about personal home",5,"Data Interpretation and Understanding","#B2DF8A"
"freeboard added",5,"Data Interpretation and Understanding","#B2DF8A"
"low maintenance",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"no comment",5,"No Reason","#E31A1C"
"based on emissions scenario(s)/ projections",4,"Data Interpretation and Understanding","#B2DF8A"
"best level of protection",4,"Protection and Preparedness","#FB9A99"
"more information wanted",4,"Data Interpretation and Understanding","#B2DF8A"
"protection of home and family",4,"Protection and Preparedness","#FB9A99"
"safe than sorry",4,"Protection and Preparedness","#FB9A99"
"based on 2 events",3,"Data Interpretation and Understanding","#B2DF8A"
"erosion control",3,"Perception and Personal Judgment","#33A02C"
"not needed",3,"Protection and Preparedness","#FB9A99"
"too expensive",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"avoid damage and its costs",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on prior experience",2,"Perception and Personal Judgment","#33A02C"
"high amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"little to no change in risk",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"watch and decide later",2,"Protection and Preparedness","#FB9A99"
"acceptable damage costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"change in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"environmental impact",1,"Perception and Personal Judgment","#33A02C"
"I don't understand",1,"Data Interpretation and Understanding","#B2DF8A"
"increase property value",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"insurance costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"it is only rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"likely to move",1,"Perception and Personal Judgment","#33A02C"
"low risk of flooding",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"the description",1,"Data Interpretation and Understanding","#B2DF8A"
"weather is unpredictable",1,"Rainfall and Flood Risk Assessment","#1F78B4"
