"word","count","topic","color"
"I don't know",6,"No Reason","#E31A1C"
"feels right",4,"Perception and Personal Judgment","#33A02C"
"I don't understand",3,"Data Interpretation and Understanding","#B2DF8A"
"logical choice",3,"Perception and Personal Judgment","#33A02C"
"?",2,"No Reason","#E31A1C"
"avoid damage and its costs",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"confusion about personal home",2,"Data Interpretation and Understanding","#B2DF8A"
"cost benefit analysis",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"protection of home and family",2,"Protection and Preparedness","#FB9A99"
"saves money",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on 4 events",1,"Data Interpretation and Understanding","#B2DF8A"
"best economic choice",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"best level of protection",1,"Protection and Preparedness","#FB9A99"
"environmental impact",1,"Perception and Personal Judgment","#33A02C"
"fix and forget",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase property value",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"no comment",1,"No Reason","#E31A1C"
"not needed",1,"Protection and Preparedness","#FB9A99"
"safe than sorry",1,"Protection and Preparedness","#FB9A99"
"to be prepared and protect",1,"Protection and Preparedness","#FB9A99"
"watch and decide later",1,"Protection and Preparedness","#FB9A99"
"weather is unpredictable",1,"Rainfall and Flood Risk Assessment","#1F78B4"
