"word","count","topic","color"
"logical choice",14,"Perception and Personal Judgment","#33A02C"
"cost effective",12,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't know",12,"No Reason","#E31A1C"
"increase in rainfall",10,"Rainfall and Flood Risk Assessment","#1F78B4"
"cost benefit analysis",8,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"long lasting",8,"Protection and Preparedness","#FB9A99"
"no comment",7,"No Reason","#E31A1C"
"to be prepared and protect",7,"Protection and Preparedness","#FB9A99"
"best economic choice",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't understand",4,"Data Interpretation and Understanding","#B2DF8A"
"based on 2 events",3,"Data Interpretation and Understanding","#B2DF8A"
"feels right",3,"Perception and Personal Judgment","#33A02C"
"freeboard added",3,"Data Interpretation and Understanding","#B2DF8A"
"saves money",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",2,"No Reason","#E31A1C"
"based on average",2,"Data Interpretation and Understanding","#B2DF8A"
"based on emissions scenario(s)/ projections",2,"Data Interpretation and Understanding","#B2DF8A"
"protection of home and family",2,"Protection and Preparedness","#FB9A99"
"risk of flood(s)",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"too expensive",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"watch and decide later",2,"Protection and Preparedness","#FB9A99"
"based on 4 events",1,"Data Interpretation and Understanding","#B2DF8A"
"based on prior experience",1,"Perception and Personal Judgment","#33A02C"
"based on the graph",1,"Data Interpretation and Understanding","#B2DF8A"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"confusion about personal home",1,"Data Interpretation and Understanding","#B2DF8A"
"environmental impact",1,"Perception and Personal Judgment","#33A02C"
"fix and forget",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"it is only rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"low maintenance",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"more information wanted",1,"Data Interpretation and Understanding","#B2DF8A"
"safe than sorry",1,"Protection and Preparedness","#FB9A99"
"weather is unpredictable",1,"Rainfall and Flood Risk Assessment","#1F78B4"
