"word","count","topic","color"
"logical choice",23,"Perception and Personal Judgment","#33A02C"
"cost effective",20,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in rainfall",16,"Rainfall and Flood Risk Assessment","#1F78B4"
"to be prepared and protect",16,"Protection and Preparedness","#FB9A99"
"cost benefit analysis",13,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",11,"No Reason","#E31A1C"
"feels right",11,"Perception and Personal Judgment","#33A02C"
"long lasting",11,"Protection and Preparedness","#FB9A99"
"fix and forget",8,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't know",8,"No Reason","#E31A1C"
"low maintenance",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"saves money",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on 2 events",5,"Data Interpretation and Understanding","#B2DF8A"
"based on average",5,"Data Interpretation and Understanding","#B2DF8A"
"no comment",5,"No Reason","#E31A1C"
"based on the graph",4,"Data Interpretation and Understanding","#B2DF8A"
"freeboard added",4,"Data Interpretation and Understanding","#B2DF8A"
"more information wanted",4,"Data Interpretation and Understanding","#B2DF8A"
"safe than sorry",4,"Protection and Preparedness","#FB9A99"
"avoid damage and its costs",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on 4 events",3,"Data Interpretation and Understanding","#B2DF8A"
"based on emissions scenario(s)/ projections",3,"Data Interpretation and Understanding","#B2DF8A"
"best economic choice",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"erosion control",3,"Perception and Personal Judgment","#33A02C"
"high amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"the description",3,"Data Interpretation and Understanding","#B2DF8A"
"best level of protection",2,"Protection and Preparedness","#FB9A99"
"change in rainfall",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"confusion about personal home",2,"Data Interpretation and Understanding","#B2DF8A"
"environmental impact",2,"Perception and Personal Judgment","#33A02C"
"I don't understand",2,"Data Interpretation and Understanding","#B2DF8A"
"protection of home and family",2,"Protection and Preparedness","#FB9A99"
"watch and decide later",2,"Protection and Preparedness","#FB9A99"
"amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on prior experience",1,"Perception and Personal Judgment","#33A02C"
"climate change increases risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't believe it",1,"Perception and Personal Judgment","#33A02C"
"increase property value",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"not in a flood zone",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",1,"Protection and Preparedness","#FB9A99"
"too expensive",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
