"word","count","topic","color"
"logical choice",55,"Perception and Personal Judgment","#33A02C"
"cost effective",35,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"to be prepared and protect",34,"Protection and Preparedness","#FB9A99"
"feels right",25,"Perception and Personal Judgment","#33A02C"
"increase in rainfall",23,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't know",18,"No Reason","#E31A1C"
"saves money",18,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",15,"No Reason","#E31A1C"
"long lasting",15,"Protection and Preparedness","#FB9A99"
"best economic choice",14,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on the graph",13,"Data Interpretation and Understanding","#B2DF8A"
"amount of rain",12,"Rainfall and Flood Risk Assessment","#1F78B4"
"cost benefit analysis",12,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"protection of home and family",12,"Protection and Preparedness","#FB9A99"
"erosion control",10,"Perception and Personal Judgment","#33A02C"
"safe than sorry",10,"Protection and Preparedness","#FB9A99"
"based on 4 events",9,"Data Interpretation and Understanding","#B2DF8A"
"best level of protection",9,"Protection and Preparedness","#FB9A99"
"fix and forget",9,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"no comment",9,"No Reason","#E31A1C"
"low maintenance",8,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on average",7,"Data Interpretation and Understanding","#B2DF8A"
"freeboard added",7,"Data Interpretation and Understanding","#B2DF8A"
"advantages it offers",6,"Perception and Personal Judgment","#33A02C"
"avoid damage and its costs",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on 2 events",5,"Data Interpretation and Understanding","#B2DF8A"
"confusion about personal home",5,"Data Interpretation and Understanding","#B2DF8A"
"low amount of rain",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on emissions scenario(s)/ projections",4,"Data Interpretation and Understanding","#B2DF8A"
"high amount of rain",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't understand",4,"Data Interpretation and Understanding","#B2DF8A"
"risk of flood(s)",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"the description",4,"Data Interpretation and Understanding","#B2DF8A"
"watch and decide later",4,"Protection and Preparedness","#FB9A99"
"change in rainfall",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"environmental impact",3,"Perception and Personal Judgment","#33A02C"
"increase property value",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"more information wanted",3,"Data Interpretation and Understanding","#B2DF8A"
"weather is unpredictable",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on prior experience",2,"Perception and Personal Judgment","#33A02C"
"good investment",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"history of flood",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase in risk of flood(s)",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"little to no change in risk",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",2,"Protection and Preparedness","#FB9A99"
"climate change increases risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't believe it",1,"Perception and Personal Judgment","#33A02C"
"it is only rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"likely to move",1,"Perception and Personal Judgment","#33A02C"
"not in a flood zone",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"too expensive",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
