"word","count","topic","color"
"cost effective",17,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",13,"Perception and Personal Judgment","#33A02C"
"to be prepared and protect",13,"Protection and Preparedness","#FB9A99"
"feels right",9,"Perception and Personal Judgment","#33A02C"
"fix and forget",9,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on average",7,"Data Interpretation and Understanding","#B2DF8A"
"cost benefit analysis",7,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't know",7,"No Reason","#E31A1C"
"avoid damage and its costs",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on the graph",5,"Data Interpretation and Understanding","#B2DF8A"
"increase in rainfall",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"?",4,"No Reason","#E31A1C"
"saves money",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on 2 events",3,"Data Interpretation and Understanding","#B2DF8A"
"based on emissions scenario(s)/ projections",3,"Data Interpretation and Understanding","#B2DF8A"
"long lasting",3,"Protection and Preparedness","#FB9A99"
"not needed",3,"Protection and Preparedness","#FB9A99"
"safe than sorry",3,"Protection and Preparedness","#FB9A99"
"advantages it offers",2,"Perception and Personal Judgment","#33A02C"
"best economic choice",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"confusion about personal home",2,"Data Interpretation and Understanding","#B2DF8A"
"freeboard added",2,"Data Interpretation and Understanding","#B2DF8A"
"I don't understand",2,"Data Interpretation and Understanding","#B2DF8A"
"likely to move",2,"Perception and Personal Judgment","#33A02C"
"low amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"no comment",2,"No Reason","#E31A1C"
"acceptable damage costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on 4 events",1,"Data Interpretation and Understanding","#B2DF8A"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"best level of protection",1,"Protection and Preparedness","#FB9A99"
"decrease in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't believe it",1,"Perception and Personal Judgment","#33A02C"
"it is only rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"more information wanted",1,"Data Interpretation and Understanding","#B2DF8A"
"not in a flood zone",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"other actions can be done",1,"Protection and Preparedness","#FB9A99"
"protection of home and family",1,"Protection and Preparedness","#FB9A99"
"risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"too expensive",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"weather is unpredictable",1,"Rainfall and Flood Risk Assessment","#1F78B4"
