"word","count","topic","color"
"increase in rainfall",12,"Rainfall and Flood Risk Assessment","#1F78B4"
"to be prepared and protect",11,"Protection and Preparedness","#FB9A99"
"logical choice",6,"Perception and Personal Judgment","#33A02C"
"I don't know",5,"No Reason","#E31A1C"
"amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"avoid damage and its costs",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"risk of flood(s)",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"safe than sorry",3,"Protection and Preparedness","#FB9A99"
"based on the graph",2,"Data Interpretation and Understanding","#B2DF8A"
"confusion about personal home",2,"Data Interpretation and Understanding","#B2DF8A"
"cost benefit analysis",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"cost effective",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"good investment",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"low risk of flooding",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"more information wanted",2,"Data Interpretation and Understanding","#B2DF8A"
"no comment",2,"No Reason","#E31A1C"
"protection of home and family",2,"Protection and Preparedness","#FB9A99"
"weather is unpredictable",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"?",1,"No Reason","#E31A1C"
"10 yr likelihood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on emissions scenario(s)/ projections",1,"Data Interpretation and Understanding","#B2DF8A"
"change in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"decrease in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"feels right",1,"Perception and Personal Judgment","#33A02C"
"hypothetical",1,"Perception and Personal Judgment","#33A02C"
"increase in risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",1,"Protection and Preparedness","#FB9A99"
"saves money",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"the description",1,"Data Interpretation and Understanding","#B2DF8A"
"too expensive",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"unable to read graph",1,"Data Interpretation and Understanding","#B2DF8A"
