"word","count","topic","color"
"increase in rainfall",38,"Rainfall and Flood Risk Assessment","#1F78B4"
"to be prepared and protect",34,"Protection and Preparedness","#FB9A99"
"risk of flood(s)",23,"Rainfall and Flood Risk Assessment","#1F78B4"
"avoid damage and its costs",21,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"cost effective",20,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"confusion about personal home",15,"Data Interpretation and Understanding","#B2DF8A"
"safe than sorry",15,"Protection and Preparedness","#FB9A99"
"amount of rain",13,"Rainfall and Flood Risk Assessment","#1F78B4"
"too expensive",12,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in risk of flood(s)",10,"Rainfall and Flood Risk Assessment","#1F78B4"
"logical choice",10,"Perception and Personal Judgment","#33A02C"
"based on average",9,"Data Interpretation and Understanding","#B2DF8A"
"feels right",9,"Perception and Personal Judgment","#33A02C"
"protection of home and family",9,"Protection and Preparedness","#FB9A99"
"cost benefit analysis",7,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't know",7,"No Reason","#E31A1C"
"?",6,"No Reason","#E31A1C"
"history of flood",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on emissions scenario(s)/ projections",5,"Data Interpretation and Understanding","#B2DF8A"
"no comment",5,"No Reason","#E31A1C"
"high amount of rain",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",4,"Protection and Preparedness","#FB9A99"
"saves money",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on the graph",3,"Data Interpretation and Understanding","#B2DF8A"
"change in rainfall",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"global warming is a hoax",2,"Perception and Personal Judgment","#33A02C"
"little to no change in risk",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"not in a flood zone",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"other actions can be done",2,"Protection and Preparedness","#FB9A99"
"weather is unpredictable",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"10 yr likelihood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"advantages it offers",1,"Perception and Personal Judgment","#33A02C"
"based on prior experience",1,"Perception and Personal Judgment","#33A02C"
"climate change increases risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"decrease in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"good investment",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't believe it",1,"Perception and Personal Judgment","#33A02C"
"it is only rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"likely to move",1,"Perception and Personal Judgment","#33A02C"
"more information wanted",1,"Data Interpretation and Understanding","#B2DF8A"
"not worth the cost",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"risks associated with insurance",1,"Perception and Personal Judgment","#33A02C"
"the description",1,"Data Interpretation and Understanding","#B2DF8A"
