"word","count","topic","color"
"increase in rainfall",52,"Rainfall and Flood Risk Assessment","#1F78B4"
"to be prepared and protect",45,"Protection and Preparedness","#FB9A99"
"avoid damage and its costs",32,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"risk of flood(s)",23,"Rainfall and Flood Risk Assessment","#1F78B4"
"safe than sorry",19,"Protection and Preparedness","#FB9A99"
"cost effective",16,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",16,"Perception and Personal Judgment","#33A02C"
"amount of rain",14,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't know",14,"No Reason","#E31A1C"
"confusion about personal home",13,"Data Interpretation and Understanding","#B2DF8A"
"history of flood",13,"Rainfall and Flood Risk Assessment","#1F78B4"
"protection of home and family",13,"Protection and Preparedness","#FB9A99"
"cost benefit analysis",12,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in risk of flood(s)",12,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on emissions scenario(s)/ projections",10,"Data Interpretation and Understanding","#B2DF8A"
"too expensive",10,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"no comment",9,"No Reason","#E31A1C"
"feels right",8,"Perception and Personal Judgment","#33A02C"
"?",7,"No Reason","#E31A1C"
"based on the graph",7,"Data Interpretation and Understanding","#B2DF8A"
"saves money",7,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on average",6,"Data Interpretation and Understanding","#B2DF8A"
"high amount of rain",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"not in a flood zone",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"the description",6,"Data Interpretation and Understanding","#B2DF8A"
"weather is unpredictable",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"good investment",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"low amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"not worth the cost",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't understand",2,"Data Interpretation and Understanding","#B2DF8A"
"it is only rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"little to no change in risk",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"more information wanted",2,"Data Interpretation and Understanding","#B2DF8A"
"not needed",2,"Protection and Preparedness","#FB9A99"
"10 yr likelihood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"change in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"climate change increases risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"damage costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"decrease in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"unable to read graph",1,"Data Interpretation and Understanding","#B2DF8A"
"wrong answer",1,"Data Interpretation and Understanding","#B2DF8A"
