"word","count","topic","color"
"increase in rainfall",44,"Rainfall and Flood Risk Assessment","#1F78B4"
"cost effective",32,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"to be prepared and protect",31,"Protection and Preparedness","#FB9A99"
"risk of flood(s)",30,"Rainfall and Flood Risk Assessment","#1F78B4"
"avoid damage and its costs",21,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"amount of rain",15,"Rainfall and Flood Risk Assessment","#1F78B4"
"confusion about personal home",15,"Data Interpretation and Understanding","#B2DF8A"
"low risk of flooding",14,"Rainfall and Flood Risk Assessment","#1F78B4"
"safe than sorry",13,"Protection and Preparedness","#FB9A99"
"increase in risk of flood(s)",12,"Rainfall and Flood Risk Assessment","#1F78B4"
"logical choice",12,"Perception and Personal Judgment","#33A02C"
"too expensive",12,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"history of flood",11,"Rainfall and Flood Risk Assessment","#1F78B4"
"not worth the cost",9,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on average",8,"Data Interpretation and Understanding","#B2DF8A"
"feels right",8,"Perception and Personal Judgment","#33A02C"
"good investment",8,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't know",8,"No Reason","#E31A1C"
"?",7,"No Reason","#E31A1C"
"based on emissions scenario(s)/ projections",7,"Data Interpretation and Understanding","#B2DF8A"
"high amount of rain",7,"Rainfall and Flood Risk Assessment","#1F78B4"
"weather is unpredictable",7,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"not in a flood zone",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",6,"Protection and Preparedness","#FB9A99"
"protection of home and family",6,"Protection and Preparedness","#FB9A99"
"cost benefit analysis",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"more information wanted",4,"Data Interpretation and Understanding","#B2DF8A"
"no comment",4,"No Reason","#E31A1C"
"10 yr likelihood",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on the graph",3,"Data Interpretation and Understanding","#B2DF8A"
"change in rainfall",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't believe it",3,"Perception and Personal Judgment","#33A02C"
"I don't understand",3,"Data Interpretation and Understanding","#B2DF8A"
"likely to move",3,"Perception and Personal Judgment","#33A02C"
"global warming is a hoax",2,"Perception and Personal Judgment","#33A02C"
"hypothetical",2,"Perception and Personal Judgment","#33A02C"
"other actions can be done",2,"Protection and Preparedness","#FB9A99"
"the description",2,"Data Interpretation and Understanding","#B2DF8A"
"advantages it offers",1,"Perception and Personal Judgment","#33A02C"
"based on prior experience",1,"Perception and Personal Judgment","#33A02C"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"best economic choice",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"damage costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"decrease in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"little to no change in risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"risks associated with insurance",1,"Perception and Personal Judgment","#33A02C"
"saves money",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"unable to read graph",1,"Data Interpretation and Understanding","#B2DF8A"
"wrong answer",1,"Data Interpretation and Understanding","#B2DF8A"
