"word","count","topic","color"
"to be prepared and protect",18,"Protection and Preparedness","#FB9A99"
"increase in rainfall",11,"Rainfall and Flood Risk Assessment","#1F78B4"
"risk of flood(s)",9,"Rainfall and Flood Risk Assessment","#1F78B4"
"avoid damage and its costs",8,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"cost effective",7,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"protection of home and family",6,"Protection and Preparedness","#FB9A99"
"safe than sorry",6,"Protection and Preparedness","#FB9A99"
"history of flood",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on the graph",4,"Data Interpretation and Understanding","#B2DF8A"
"confusion about personal home",4,"Data Interpretation and Understanding","#B2DF8A"
"cost benefit analysis",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"high amount of rain",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"logical choice",4,"Perception and Personal Judgment","#33A02C"
"low risk of flooding",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"not worth the cost",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"weather is unpredictable",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on average",3,"Data Interpretation and Understanding","#B2DF8A"
"increase in risk of flood(s)",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"?",2,"No Reason","#E31A1C"
"good investment",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"no comment",2,"No Reason","#E31A1C"
"too expensive",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"advantages it offers",1,"Perception and Personal Judgment","#33A02C"
"based on emissions scenario(s)/ projections",1,"Data Interpretation and Understanding","#B2DF8A"
"damage costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"feels right",1,"Perception and Personal Judgment","#33A02C"
"I don't know",1,"No Reason","#E31A1C"
"low amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"not in a flood zone",1,"Rainfall and Flood Risk Assessment","#1F78B4"
