"word","count","topic","color"
"avoid damage and its costs",32,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in rainfall",30,"Rainfall and Flood Risk Assessment","#1F78B4"
"to be prepared and protect",25,"Protection and Preparedness","#FB9A99"
"risk of flood(s)",14,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't know",13,"No Reason","#E31A1C"
"too expensive",12,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"cost effective",11,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"feels right",10,"Perception and Personal Judgment","#33A02C"
"safe than sorry",10,"Protection and Preparedness","#FB9A99"
"confusion about personal home",8,"Data Interpretation and Understanding","#B2DF8A"
"based on the graph",7,"Data Interpretation and Understanding","#B2DF8A"
"cost benefit analysis",7,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"history of flood",7,"Rainfall and Flood Risk Assessment","#1F78B4"
"high amount of rain",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"no comment",6,"No Reason","#E31A1C"
"weather is unpredictable",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on emissions scenario(s)/ projections",5,"Data Interpretation and Understanding","#B2DF8A"
"increase in risk of flood(s)",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"logical choice",5,"Perception and Personal Judgment","#33A02C"
"low amount of rain",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"saves money",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"the description",5,"Data Interpretation and Understanding","#B2DF8A"
"amount of rain",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on average",4,"Data Interpretation and Understanding","#B2DF8A"
"good investment",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't understand",4,"Data Interpretation and Understanding","#B2DF8A"
"not worth the cost",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",3,"No Reason","#E31A1C"
"not in a flood zone",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",3,"Protection and Preparedness","#FB9A99"
"protection of home and family",3,"Protection and Preparedness","#FB9A99"
"wrong answer",3,"Data Interpretation and Understanding","#B2DF8A"
"likely to move",2,"Perception and Personal Judgment","#33A02C"
"10 yr likelihood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"best economic choice",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"it is only rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"little to no change in risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"other actions can be done",1,"Protection and Preparedness","#FB9A99"
"risks associated with insurance",1,"Perception and Personal Judgment","#33A02C"
