"word","count","topic","color"
"increase in rainfall",33,"Rainfall and Flood Risk Assessment","#1F78B4"
"risk of flood(s)",17,"Rainfall and Flood Risk Assessment","#1F78B4"
"to be prepared and protect",15,"Protection and Preparedness","#FB9A99"
"cost effective",12,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"cost benefit analysis",10,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"avoid damage and its costs",9,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in risk of flood(s)",7,"Rainfall and Flood Risk Assessment","#1F78B4"
"logical choice",5,"Perception and Personal Judgment","#33A02C"
"safe than sorry",5,"Protection and Preparedness","#FB9A99"
"based on average",4,"Data Interpretation and Understanding","#B2DF8A"
"confusion about personal home",3,"Data Interpretation and Understanding","#B2DF8A"
"low amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on emissions scenario(s)/ projections",2,"Data Interpretation and Understanding","#B2DF8A"
"not worth the cost",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"protection of home and family",2,"Protection and Preparedness","#FB9A99"
"saves money",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"the description",2,"Data Interpretation and Understanding","#B2DF8A"
"climate change increases risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"good investment",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"high amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"history of flood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"more information wanted",1,"Data Interpretation and Understanding","#B2DF8A"
"no comment",1,"No Reason","#E31A1C"
"not in a flood zone",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",1,"Protection and Preparedness","#FB9A99"
