"word","count","topic","color"
"to be prepared and protect",7,"Protection and Preparedness","#FB9A99"
"avoid damage and its costs",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"increase in rainfall",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"cost benefit analysis",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"safe than sorry",4,"Protection and Preparedness","#FB9A99"
"amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"cost effective",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"risk of flood(s)",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on average",2,"Data Interpretation and Understanding","#B2DF8A"
"feels right",2,"Perception and Personal Judgment","#33A02C"
"high amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"not worth the cost",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"saves money",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"too expensive",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"10 yr likelihood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on the graph",1,"Data Interpretation and Understanding","#B2DF8A"
"confusion about personal home",1,"Data Interpretation and Understanding","#B2DF8A"
"history of flood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't believe it",1,"Perception and Personal Judgment","#33A02C"
"I don't know",1,"No Reason","#E31A1C"
"increase in risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"more information wanted",1,"Data Interpretation and Understanding","#B2DF8A"
"risks associated with insurance",1,"Perception and Personal Judgment","#33A02C"
