"word","count","topic","color"
"increase in rainfall",25,"Rainfall and Flood Risk Assessment","#1F78B4"
"to be prepared and protect",15,"Protection and Preparedness","#FB9A99"
"avoid damage and its costs",14,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"risk of flood(s)",11,"Rainfall and Flood Risk Assessment","#1F78B4"
"logical choice",8,"Perception and Personal Judgment","#33A02C"
"I don't know",7,"No Reason","#E31A1C"
"amount of rain",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"feels right",5,"Perception and Personal Judgment","#33A02C"
"history of flood",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"safe than sorry",5,"Protection and Preparedness","#FB9A99"
"too expensive",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on average",4,"Data Interpretation and Understanding","#B2DF8A"
"cost benefit analysis",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"cost effective",4,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on emissions scenario(s)/ projections",3,"Data Interpretation and Understanding","#B2DF8A"
"high amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase in risk of flood(s)",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on the graph",2,"Data Interpretation and Understanding","#B2DF8A"
"I don't understand",2,"Data Interpretation and Understanding","#B2DF8A"
"likely to move",2,"Perception and Personal Judgment","#33A02C"
"low amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",2,"Protection and Preparedness","#FB9A99"
"protection of home and family",2,"Protection and Preparedness","#FB9A99"
"saves money",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"wrong answer",2,"Data Interpretation and Understanding","#B2DF8A"
"?",1,"No Reason","#E31A1C"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"climate change increases risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"confusion about personal home",1,"Data Interpretation and Understanding","#B2DF8A"
"good investment",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"little to no change in risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"not in a flood zone",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"other actions can be done",1,"Protection and Preparedness","#FB9A99"
"the description",1,"Data Interpretation and Understanding","#B2DF8A"
"weather is unpredictable",1,"Rainfall and Flood Risk Assessment","#1F78B4"
