"word","count","topic","color"
"increase in rainfall",101,"Rainfall and Flood Risk Assessment","#1F78B4"
"to be prepared and protect",87,"Protection and Preparedness","#FB9A99"
"avoid damage and its costs",73,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"risk of flood(s)",53,"Rainfall and Flood Risk Assessment","#1F78B4"
"cost effective",47,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"safe than sorry",45,"Protection and Preparedness","#FB9A99"
"confusion about personal home",39,"Data Interpretation and Understanding","#B2DF8A"
"I don't know",33,"No Reason","#E31A1C"
"logical choice",33,"Perception and Personal Judgment","#33A02C"
"amount of rain",29,"Rainfall and Flood Risk Assessment","#1F78B4"
"too expensive",28,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"history of flood",27,"Rainfall and Flood Risk Assessment","#1F78B4"
"feels right",23,"Perception and Personal Judgment","#33A02C"
"increase in risk of flood(s)",22,"Rainfall and Flood Risk Assessment","#1F78B4"
"protection of home and family",21,"Protection and Preparedness","#FB9A99"
"low risk of flooding",19,"Rainfall and Flood Risk Assessment","#1F78B4"
"cost benefit analysis",17,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on emissions scenario(s)/ projections",16,"Data Interpretation and Understanding","#B2DF8A"
"based on the graph",15,"Data Interpretation and Understanding","#B2DF8A"
"high amount of rain",15,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on average",14,"Data Interpretation and Understanding","#B2DF8A"
"good investment",13,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",12,"No Reason","#E31A1C"
"not worth the cost",12,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"no comment",11,"No Reason","#E31A1C"
"low amount of rain",10,"Rainfall and Flood Risk Assessment","#1F78B4"
"not in a flood zone",10,"Rainfall and Flood Risk Assessment","#1F78B4"
"saves money",10,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"weather is unpredictable",10,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",9,"Protection and Preparedness","#FB9A99"
"the description",9,"Data Interpretation and Understanding","#B2DF8A"
"I don't understand",5,"Data Interpretation and Understanding","#B2DF8A"
"more information wanted",5,"Data Interpretation and Understanding","#B2DF8A"
"10 yr likelihood",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"change in rainfall",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"likely to move",4,"Perception and Personal Judgment","#33A02C"
"wrong answer",4,"Data Interpretation and Understanding","#B2DF8A"
"advantages it offers",3,"Perception and Personal Judgment","#33A02C"
"I don't believe it",3,"Perception and Personal Judgment","#33A02C"
"little to no change in risk",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"other actions can be done",3,"Protection and Preparedness","#FB9A99"
"based on the hindcast",2,"Data Interpretation and Understanding","#B2DF8A"
"climate change increases risk",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"damage costs",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"decrease in rainfall",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"global warming is a hoax",2,"Perception and Personal Judgment","#33A02C"
"hypothetical",2,"Perception and Personal Judgment","#33A02C"
"it is only rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"risks associated with insurance",2,"Perception and Personal Judgment","#33A02C"
"unable to read graph",2,"Data Interpretation and Understanding","#B2DF8A"
"based on prior experience",1,"Perception and Personal Judgment","#33A02C"
"best economic choice",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
