"word","count","topic","color"
"increase in rainfall",29,"Rainfall and Flood Risk Assessment","#1F78B4"
"to be prepared and protect",29,"Protection and Preparedness","#FB9A99"
"cost effective",16,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"avoid damage and its costs",15,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"risk of flood(s)",15,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase in risk of flood(s)",12,"Rainfall and Flood Risk Assessment","#1F78B4"
"logical choice",11,"Perception and Personal Judgment","#33A02C"
"safe than sorry",11,"Protection and Preparedness","#FB9A99"
"?",9,"No Reason","#E31A1C"
"confusion about personal home",9,"Data Interpretation and Understanding","#B2DF8A"
"cost benefit analysis",9,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"not worth the cost",9,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"protection of home and family",7,"Protection and Preparedness","#FB9A99"
"amount of rain",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on the graph",6,"Data Interpretation and Understanding","#B2DF8A"
"feels right",5,"Perception and Personal Judgment","#33A02C"
"good investment",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"high amount of rain",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"history of flood",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"too expensive",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on average",4,"Data Interpretation and Understanding","#B2DF8A"
"no comment",4,"No Reason","#E31A1C"
"I don't know",3,"No Reason","#E31A1C"
"more information wanted",3,"Data Interpretation and Understanding","#B2DF8A"
"10 yr likelihood",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on emissions scenario(s)/ projections",2,"Data Interpretation and Understanding","#B2DF8A"
"global warming is a hoax",2,"Perception and Personal Judgment","#33A02C"
"low amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"not in a flood zone",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",2,"Protection and Preparedness","#FB9A99"
"the description",2,"Data Interpretation and Understanding","#B2DF8A"
"weather is unpredictable",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"advantages it offers",1,"Perception and Personal Judgment","#33A02C"
"based on prior experience",1,"Perception and Personal Judgment","#33A02C"
"change in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"damage costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"decrease in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"hypothetical",1,"Perception and Personal Judgment","#33A02C"
"it is only rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"saves money",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"unable to read graph",1,"Data Interpretation and Understanding","#B2DF8A"
"wrong answer",1,"Data Interpretation and Understanding","#B2DF8A"
