"word","count","topic","color"
"to be prepared and protect",16,"Protection and Preparedness","#FB9A99"
"avoid damage and its costs",9,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on the graph",5,"Data Interpretation and Understanding","#B2DF8A"
"feels right",5,"Perception and Personal Judgment","#33A02C"
"I don't know",5,"No Reason","#E31A1C"
"logical choice",5,"Perception and Personal Judgment","#33A02C"
"too expensive",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",4,"No Reason","#E31A1C"
"amount of rain",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"no comment",4,"No Reason","#E31A1C"
"protection of home and family",4,"Protection and Preparedness","#FB9A99"
"weather is unpredictable",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on average",3,"Data Interpretation and Understanding","#B2DF8A"
"good investment",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"high amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase in rainfall",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't understand",2,"Data Interpretation and Understanding","#B2DF8A"
"safe than sorry",2,"Protection and Preparedness","#FB9A99"
"based on emissions scenario(s)/ projections",1,"Data Interpretation and Understanding","#B2DF8A"
"change in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"history of flood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't believe it",1,"Perception and Personal Judgment","#33A02C"
"increase in risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"it is only rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"more information wanted",1,"Data Interpretation and Understanding","#B2DF8A"
"not in a flood zone",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",1,"Protection and Preparedness","#FB9A99"
"other actions can be done",1,"Protection and Preparedness","#FB9A99"
"risks associated with insurance",1,"Perception and Personal Judgment","#33A02C"
"saves money",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
