"word","count","topic","color"
"increase in rainfall",51,"Rainfall and Flood Risk Assessment","#1F78B4"
"to be prepared and protect",39,"Protection and Preparedness","#FB9A99"
"cost effective",24,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"avoid damage and its costs",23,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"safe than sorry",21,"Protection and Preparedness","#FB9A99"
"risk of flood(s)",19,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't know",18,"No Reason","#E31A1C"
"feels right",17,"Perception and Personal Judgment","#33A02C"
"confusion about personal home",15,"Data Interpretation and Understanding","#B2DF8A"
"history of flood",14,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase in risk of flood(s)",14,"Rainfall and Flood Risk Assessment","#1F78B4"
"logical choice",13,"Perception and Personal Judgment","#33A02C"
"low risk of flooding",11,"Rainfall and Flood Risk Assessment","#1F78B4"
"protection of home and family",10,"Protection and Preparedness","#FB9A99"
"?",9,"No Reason","#E31A1C"
"based on average",9,"Data Interpretation and Understanding","#B2DF8A"
"good investment",9,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"too expensive",9,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on the graph",8,"Data Interpretation and Understanding","#B2DF8A"
"not needed",8,"Protection and Preparedness","#FB9A99"
"based on emissions scenario(s)/ projections",7,"Data Interpretation and Understanding","#B2DF8A"
"cost benefit analysis",7,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"saves money",7,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"not worth the cost",6,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"high amount of rain",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"not in a flood zone",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"weather is unpredictable",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"amount of rain",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"no comment",4,"No Reason","#E31A1C"
"I don't believe it",3,"Perception and Personal Judgment","#33A02C"
"other actions can be done",3,"Protection and Preparedness","#FB9A99"
"change in rainfall",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"global warming is a hoax",2,"Perception and Personal Judgment","#33A02C"
"I don't understand",2,"Data Interpretation and Understanding","#B2DF8A"
"it is only rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"likely to move",2,"Perception and Personal Judgment","#33A02C"
"more information wanted",2,"Data Interpretation and Understanding","#B2DF8A"
"10 yr likelihood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on prior experience",1,"Perception and Personal Judgment","#33A02C"
"best economic choice",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"climate change increases risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"hypothetical",1,"Perception and Personal Judgment","#33A02C"
"little to no change in risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"risks associated with insurance",1,"Perception and Personal Judgment","#33A02C"
"the description",1,"Data Interpretation and Understanding","#B2DF8A"
