"word","count","topic","color"
"increase in rainfall",14,"Rainfall and Flood Risk Assessment","#1F78B4"
"avoid damage and its costs",10,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"to be prepared and protect",10,"Protection and Preparedness","#FB9A99"
"cost effective",8,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"risk of flood(s)",8,"Rainfall and Flood Risk Assessment","#1F78B4"
"logical choice",6,"Perception and Personal Judgment","#33A02C"
"history of flood",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"safe than sorry",5,"Protection and Preparedness","#FB9A99"
"amount of rain",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"feels right",4,"Perception and Personal Judgment","#33A02C"
"low risk of flooding",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"more information wanted",4,"Data Interpretation and Understanding","#B2DF8A"
"protection of home and family",4,"Protection and Preparedness","#FB9A99"
"based on average",3,"Data Interpretation and Understanding","#B2DF8A"
"cost benefit analysis",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"good investment",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"high amount of rain",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase in risk of flood(s)",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"not in a flood zone",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"saves money",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"too expensive",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",2,"No Reason","#E31A1C"
"based on emissions scenario(s)/ projections",2,"Data Interpretation and Understanding","#B2DF8A"
"change in rainfall",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"confusion about personal home",2,"Data Interpretation and Understanding","#B2DF8A"
"I don't know",2,"No Reason","#E31A1C"
"low amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"no comment",2,"No Reason","#E31A1C"
"weather is unpredictable",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on the graph",1,"Data Interpretation and Understanding","#B2DF8A"
"best economic choice",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"decrease in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"hypothetical",1,"Perception and Personal Judgment","#33A02C"
"I don't believe it",1,"Perception and Personal Judgment","#33A02C"
"little to no change in risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"the description",1,"Data Interpretation and Understanding","#B2DF8A"
