"word","count","topic","color"
"to be prepared and protect",38,"Protection and Preparedness","#FB9A99"
"increase in rainfall",29,"Rainfall and Flood Risk Assessment","#1F78B4"
"avoid damage and its costs",25,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"safe than sorry",21,"Protection and Preparedness","#FB9A99"
"risk of flood(s)",18,"Rainfall and Flood Risk Assessment","#1F78B4"
"cost effective",13,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"amount of rain",11,"Rainfall and Flood Risk Assessment","#1F78B4"
"confusion about personal home",11,"Data Interpretation and Understanding","#B2DF8A"
"I don't know",11,"No Reason","#E31A1C"
"too expensive",10,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",9,"Perception and Personal Judgment","#33A02C"
"based on emissions scenario(s)/ projections",8,"Data Interpretation and Understanding","#B2DF8A"
"feels right",8,"Perception and Personal Judgment","#33A02C"
"based on average",7,"Data Interpretation and Understanding","#B2DF8A"
"protection of home and family",7,"Protection and Preparedness","#FB9A99"
"low risk of flooding",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"no comment",5,"No Reason","#E31A1C"
"not needed",5,"Protection and Preparedness","#FB9A99"
"saves money",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",4,"No Reason","#E31A1C"
"based on the graph",4,"Data Interpretation and Understanding","#B2DF8A"
"high amount of rain",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"history of flood",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"good investment",3,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"I don't understand",3,"Data Interpretation and Understanding","#B2DF8A"
"increase in risk of flood(s)",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"not in a flood zone",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"weather is unpredictable",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"change in rainfall",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"cost benefit analysis",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"not worth the cost",2,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"other actions can be done",2,"Protection and Preparedness","#FB9A99"
"risks associated with insurance",2,"Perception and Personal Judgment","#33A02C"
"climate change increases risk",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"damage costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"it is only rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"likely to move",1,"Perception and Personal Judgment","#33A02C"
"the description",1,"Data Interpretation and Understanding","#B2DF8A"
