"word","count","topic","color"
"increase in rainfall",88,"Rainfall and Flood Risk Assessment","#1F78B4"
"to be prepared and protect",81,"Protection and Preparedness","#FB9A99"
"avoid damage and its costs",57,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"risk of flood(s)",51,"Rainfall and Flood Risk Assessment","#1F78B4"
"cost effective",36,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"logical choice",32,"Perception and Personal Judgment","#33A02C"
"safe than sorry",30,"Protection and Preparedness","#FB9A99"
"amount of rain",25,"Rainfall and Flood Risk Assessment","#1F78B4"
"protection of home and family",22,"Protection and Preparedness","#FB9A99"
"confusion about personal home",18,"Data Interpretation and Understanding","#B2DF8A"
"cost benefit analysis",18,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"based on emissions scenario(s)/ projections",17,"Data Interpretation and Understanding","#B2DF8A"
"increase in risk of flood(s)",17,"Rainfall and Flood Risk Assessment","#1F78B4"
"too expensive",16,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"high amount of rain",14,"Rainfall and Flood Risk Assessment","#1F78B4"
"based on average",13,"Data Interpretation and Understanding","#B2DF8A"
"good investment",13,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"history of flood",12,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't know",12,"No Reason","#E31A1C"
"based on the graph",11,"Data Interpretation and Understanding","#B2DF8A"
"feels right",10,"Perception and Personal Judgment","#33A02C"
"saves money",10,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"?",8,"No Reason","#E31A1C"
"the description",8,"Data Interpretation and Understanding","#B2DF8A"
"not worth the cost",7,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"weather is unpredictable",7,"Rainfall and Flood Risk Assessment","#1F78B4"
"low amount of rain",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"low risk of flooding",6,"Rainfall and Flood Risk Assessment","#1F78B4"
"change in rainfall",5,"Rainfall and Flood Risk Assessment","#1F78B4"
"more information wanted",4,"Data Interpretation and Understanding","#B2DF8A"
"no comment",4,"No Reason","#E31A1C"
"not in a flood zone",4,"Rainfall and Flood Risk Assessment","#1F78B4"
"wrong answer",4,"Data Interpretation and Understanding","#B2DF8A"
"10 yr likelihood",3,"Rainfall and Flood Risk Assessment","#1F78B4"
"not needed",3,"Protection and Preparedness","#FB9A99"
"advantages it offers",2,"Perception and Personal Judgment","#33A02C"
"climate change increases risk",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"I don't understand",2,"Data Interpretation and Understanding","#B2DF8A"
"little to no change in risk",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"unable to read graph",2,"Data Interpretation and Understanding","#B2DF8A"
"based on the hindcast",1,"Data Interpretation and Understanding","#B2DF8A"
"damage costs",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"decrease in rainfall",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"hypothetical",1,"Perception and Personal Judgment","#33A02C"
"it is only rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"likely to move",1,"Perception and Personal Judgment","#33A02C"
"other actions can be done",1,"Protection and Preparedness","#FB9A99"
"risks associated with insurance",1,"Perception and Personal Judgment","#33A02C"
