"word","count","topic","color"
"avoid damage and its costs",5,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"amount of rain",2,"Rainfall and Flood Risk Assessment","#1F78B4"
"no comment",2,"No Reason","#E31A1C"
"confusion about personal home",1,"Data Interpretation and Understanding","#B2DF8A"
"cost benefit analysis",1,"Economic Considerations and Cost-Benefit Analysis","#A6CEE3"
"history of flood",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"increase in risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"likely to move",1,"Perception and Personal Judgment","#33A02C"
"logical choice",1,"Perception and Personal Judgment","#33A02C"
"low amount of rain",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"risk of flood(s)",1,"Rainfall and Flood Risk Assessment","#1F78B4"
"risks associated with insurance",1,"Perception and Personal Judgment","#33A02C"
